window_mid_s,score_mean,score_soft_quorum_gate,score_quorum_offset_gate,prn_count,soft_high_fraction
72.5,2.8090574801442276,4.8520083747945755,5.942917465703666,11,0.36363636363636365
73.0,2.7063360330060195,4.674580420646761,5.7654895115558515,11,0.36363636363636365
73.5,2.5970938422008563,4.958088244201635,6.321724607837998,11,0.45454545454545453
74.0,2.67949515338754,5.115399838285304,6.479036201921668,11,0.45454545454545453
74.5,2.7108585781159293,4.682392089472969,5.7733011803820595,11,0.36363636363636365
75.0,1.246345560185645,2.243422008334161,3.4434220083341613,10,0.4
75.5,1.0777693816699139,1.7244310106718623,2.624431010671862,10,0.3
76.0,1.0583192157135781,2.1166384314271562,3.6166384314271562,10,0.5
76.5,1.0373706234766575,1.6597929975626522,2.559792997562652,10,0.3
77.0,0.8956507544744353,1.4330412071590966,2.3330412071590967,10,0.3
77.5,1.1290577261737793,2.032303907112803,3.232303907112803,10,0.4
78.0,1.1718374935640783,2.3436749871281566,3.8436749871281566,10,0.5
78.5,1.0444400211810576,1.8799920381259037,3.079992038125904,10,0.4
79.0,1.082710352301338,2.165420704602676,3.665420704602676,10,0.5
79.5,1.0980096080923356,1.9764172945662042,3.176417294566204,10,0.4
80.0,1.0214031735443325,1.8385257123797987,3.0385257123797986,10,0.4
80.5,1.1991113970459317,2.3982227940918635,3.8982227940918635,10,0.5
81.0,1.354033570651709,2.708067141303418,4.2080671413034185,10,0.5
81.5,1.1526814902017133,2.074826682363084,3.2748266823630843,10,0.4
82.0,1.03194930934307,1.8575087568175261,3.0575087568175263,10,0.4
82.5,1.1509757846664326,2.301951569332865,3.801951569332865,10,0.5
83.0,1.0654442612402055,1.91779967023237,3.1177996702323703,10,0.4
83.5,0.9340507424424682,1.4944811879079491,2.394481187907949,10,0.3
84.0,1.0710962356978868,2.1421924713957736,3.6421924713957736,10,0.5
84.5,1.125149384776077,1.8002390156417232,2.7002390156417233,10,0.3
85.0,1.250715555917689,2.501431111835378,4.0014311118353785,10,0.5
85.5,1.0084804115969888,1.613568658555182,2.513568658555182,10,0.3
86.0,0.9714280112376095,1.1657136134851314,1.4657136134851314,10,0.1
86.5,0.9383138719605769,1.1259766463526923,1.4259766463526924,10,0.1
87.0,1.1506427236032812,2.0711569024859062,3.2711569024859064,10,0.4
87.5,1.2092527148136578,1.9348043437018525,2.8348043437018524,10,0.3
88.0,0.9441244237844428,1.1329493085413314,1.4329493085413314,10,0.1
88.5,0.9716932147039978,1.5547091435263967,2.4547091435263964,10,0.3
89.0,0.9939008995958938,1.59024143935343,2.4902414393534302,10,0.3
89.5,1.021169159409256,1.838104486936661,3.0381044869366614,10,0.4
90.0,1.0852522495111538,1.7364035992178461,2.636403599217846,10,0.3
90.5,1.1069438506412341,1.7711101610259747,2.6711101610259744,10,0.3
91.0,1.115165178050296,2.007297320490533,3.2072973204905333,10,0.4
91.5,0.9311855947164227,1.4898969515462763,2.3898969515462762,10,0.3
92.0,0.9029136078019556,1.2640790509227378,1.8640790509227378,10,0.2
92.5,1.1299414656143267,1.807906344982923,2.7079063449829226,10,0.3
93.0,1.0524854405945727,1.6839767049513163,2.5839767049513163,10,0.3
93.5,1.054134409010397,1.8974419362187147,3.097441936218715,10,0.4
94.0,0.9942775984143581,1.590844157462973,2.490844157462973,10,0.3
94.5,1.1192299998512916,2.238459999702583,3.738459999702583,10,0.5
95.0,1.2021608994682769,2.1638896190428984,3.3638896190428986,10,0.4
95.5,1.256521161787334,2.513042323574668,4.013042323574668,10,0.5
96.0,1.3147763306675844,2.6295526613351687,4.129552661335168,10,0.5
96.5,1.0481984778265936,1.467477868957231,2.067477868957231,10,0.2
97.0,1.2016855047717523,2.163033908589154,3.3630339085891543,10,0.4
97.5,1.2315030894103516,1.9704049430565627,2.8704049430565624,10,0.3
98.0,1.0517544325114587,2.1035088650229175,3.6035088650229175,10,0.5
98.5,1.2895798373891025,2.579159674778205,4.0791596747782055,10,0.5
99.0,1.1805892518601975,1.888942802976316,2.788942802976316,10,0.3
99.5,1.255697225163819,2.260255005294874,3.4602550052948744,10,0.4
100.0,1.0290813813808088,1.852346486485456,3.0523464864854564,10,0.4
100.5,1.0459468042601847,1.6735148868162957,2.5735148868162954,10,0.3
101.0,1.2353283432160183,1.9765253491456294,2.8765253491456293,10,0.3
101.5,1.209281224965229,2.418562449930458,3.918562449930458,10,0.5
102.0,1.291669829103324,2.325005692385983,3.5250056923859834,10,0.4
102.5,1.4080025474265234,2.2528040758824375,3.1528040758824374,10,0.3
