window_mid_s,score_mean,score_q75,score_q75_quorum,prn_count,high_fraction
74.5,2.496220899661621,1.5790806778197397,3.4165103233086174,11,0.2727272727272727
75.0,1.171785485240298,1.951066219164768,4.307025816413059,10,0.3
75.5,1.0045890576708802,1.3896396809560856,2.0065315852429113,10,0.1
76.0,1.0113181122749586,1.2952249527807966,1.2952249527807966,10,0.0
76.5,1.0608054469855772,1.2603072484350637,1.838399422965583,10,0.1
77.0,0.9535040693168867,1.3737374851353412,1.9858587306759437,10,0.1
77.5,1.0484351169538595,1.4518455710134066,2.7229529136214508,10,0.2
78.0,1.0361422461846694,1.292220540835134,1.879886703085674,10,0.1
78.5,1.0701907114148796,1.5514327006020612,2.2168625107826796,10,0.1
79.0,1.1430922539816744,1.6504643668024768,2.3456036768432202,10,0.1
79.5,1.2094945537252162,1.7334946581951671,3.1735914531122673,10,0.2
80.0,1.1032462160586332,1.7038166199585894,3.126106591933743,10,0.2
80.5,1.1363179888522787,1.4464455403817467,2.7143128646107946,10,0.2
81.0,1.2336849476868679,1.9561475225770808,4.316680292896454,10,0.3
81.5,1.164660584038638,1.6912119078933427,3.1059390526293487,10,0.2
82.0,1.0329184059155527,1.697730329181796,3.1163685266908736,10,0.2
82.5,1.0637369022421477,1.5714513180094696,2.9143221088151514,10,0.2
83.0,1.0527040730304893,1.3290781144882315,1.9278015488347011,10,0.1
83.5,1.0600170171265277,1.5800699343523568,2.254090914658064,10,0.1
84.0,1.089888265159566,1.6133274712049341,2.2973257125664146,10,0.1
84.5,1.0417045256018225,1.6243327562515342,3.686232236877915,10,0.3
85.0,1.2504585335636333,1.7616883388754203,3.9472078438632985,10,0.3
85.5,1.0722581000412503,1.2183725832290038,2.349396133166406,10,0.2
86.0,0.9609406485510658,1.0208320145596494,1.5270816189275442,10,0.1
86.5,0.8992557896928071,1.316002792244486,1.316002792244486,10,0.0
87.0,1.1079868575376899,1.6234127636654014,2.9974604218646426,10,0.2
87.5,1.120087289048362,1.2342585160353008,2.3748136256564814,10,0.2
88.0,0.9418502112180963,1.1508875786643675,1.1508875786643675,10,0.0
88.5,1.0091299375001377,1.462282147342932,2.1009667915458117,10,0.1
89.0,1.1245029961692068,1.6839359608137943,3.7994783255462092,10,0.3
89.5,1.161204468380871,1.7443412081742302,3.914248295531037,10,0.3
90.0,1.0158452145616481,1.255180726678285,2.4082891626852563,10,0.2
90.5,1.0262516233033796,1.4643667199153227,2.1036767358899198,10,0.1
91.0,1.052724336923187,1.568768339596507,2.9100293433544113,10,0.2
91.5,1.0377606701085693,1.4641362766485466,2.7426180426376745,10,0.2
92.0,1.0410648576733768,1.7889671308057378,3.9990375485309015,10,0.3
92.5,1.2005898419027272,1.8145367546723266,4.0476198338774205,10,0.3
93.0,1.0854351500522734,1.463504289510536,2.7416068632168575,10,0.2
93.5,1.0194872259004129,1.389209368499435,2.6227349895990963,10,0.2
94.0,0.9161110596991817,1.131320418926938,2.2101126702831007,10,0.2
94.5,1.172139438655776,1.5598215417809063,2.89571446684945,10,0.2
95.0,1.261936344714015,1.5935561543820769,2.2716230006967,10,0.1
95.5,1.4009850346284243,1.4539969982170655,2.726395197147305,10,0.2
96.0,1.5001226859555903,1.4402248845579055,2.7043598152926487,10,0.2
96.5,1.1054949881927332,1.41017165261853,2.033223148404089,10,0.1
97.0,1.191966217544298,1.6612729498706074,2.35965483483179,10,0.1
97.5,1.2514975766665855,1.7291529727809958,3.885390648283892,10,0.3
98.0,1.2157919648402975,1.6638956578960455,2.3630643552648594,10,0.1
98.5,1.3939635565080895,1.6005590671444037,2.280726787287725,10,0.1
99.0,1.271511687287206,1.822810452438548,2.569653588170113,10,0.1
