window_mid_s,score_mean,score_q70,score_mean_tau50_gate,score_q70_tau50_gate,prn_count,low_high_fraction,low_high_fraction_roll3
68.0,1.5025065903205428,1.7654868650107387,1.5025065903205428,1.7654868650107387,11,0.5454545454545454,0.4545454545454546
68.5,1.4260319090706182,1.7055754601155246,4.795401986182239,5.396844171763704,11,0.7272727272727273,0.5757575757575758
69.0,1.4137982367127313,1.5558937647115134,4.945674887273618,5.260007418907287,11,0.5454545454545454,0.6060606060606061
69.5,1.2863273651433744,1.1088785991918433,4.49482554318726,4.113041834624875,11,0.45454545454545453,0.5757575757575758
70.0,1.7764884050484837,1.161605544215201,1.7764884050484837,1.161605544215201,11,0.36363636363636365,0.4545454545454546
70.5,2.163627336964063,1.4894108070794732,2.163627336964063,1.4894108070794732,11,0.5454545454545454,0.4545454545454546
71.0,2.267030763129305,1.0892907563563476,2.267030763129305,1.0892907563563476,11,0.45454545454545453,0.4545454545454546
71.5,2.3383949264727293,1.0728540735736567,2.3383949264727293,1.0728540735736567,11,0.36363636363636365,0.4545454545454546
72.0,2.6522441743761105,1.3279128416004857,2.6522441743761105,1.3279128416004857,11,0.45454545454545453,0.4242424242424243
72.5,2.8090574801442276,1.5624779963044053,2.8090574801442276,1.5624779963044053,11,0.36363636363636365,0.39393939393939403
73.0,2.7063360330060195,1.4590998979078715,2.7063360330060195,1.4590998979078715,11,0.45454545454545453,0.4242424242424243
73.5,2.5970938422008563,1.4861423343566655,2.5970938422008563,1.4861423343566655,11,0.45454545454545453,0.4242424242424243
74.0,2.67949515338754,1.4515632563236345,2.67949515338754,1.4515632563236345,11,0.5454545454545454,0.48484848484848486
74.5,2.7108585781159293,1.2428055197516386,2.7108585781159293,1.2428055197516386,11,0.45454545454545453,0.48484848484848486
75.0,1.246345560185645,1.391586843724382,1.246345560185645,1.391586843724382,10,0.4,0.46666666666666673
75.5,1.0777693816699139,1.1660126975687706,1.0777693816699139,1.1660126975687706,10,0.5,0.4515151515151516
76.0,1.0583192157135781,1.2900413199327858,3.6166384314271567,4.080082639865572,10,0.6,0.5000000000000001
76.5,1.0373706234766575,1.168633556915342,3.5747412469533155,3.8372671138306846,10,0.4,0.5000000000000001
77.0,0.8956507544744353,1.0957277571498694,0.8956507544744353,1.0957277571498694,10,0.3,0.4333333333333334
77.5,1.1290577261737793,1.4930746937735428,1.1290577261737793,1.4930746937735428,10,0.4,0.36666666666666675
78.0,1.1718374935640783,1.3864266270497003,1.1718374935640783,1.3864266270497003,10,0.6,0.4333333333333334
78.5,1.0444400211810576,1.3673767361720588,3.7585093771075195,4.425911921422255,10,0.6,0.5333333333333334
79.0,1.082710352301338,1.3237842007219591,4.009782084909522,4.52407296154018,10,0.5,0.5666666666666668
79.5,1.0980096080923356,1.380910123735444,3.6960192161846717,4.261820247470888,10,0.4,0.5000000000000001
80.0,1.0214031735443325,1.3238090307589638,1.0214031735443325,1.3238090307589638,10,0.4,0.4333333333333334
80.5,1.1991113970459317,1.4185560229714154,1.1991113970459317,1.4185560229714154,10,0.5,0.4333333333333334
81.0,1.354033570651709,1.6105852658240607,1.354033570651709,1.6105852658240607,10,0.5,0.4666666666666668
81.5,1.1526814902017133,1.5780528093202009,3.8053629804034266,4.656105618640401,10,0.5,0.5
82.0,1.03194930934307,1.320442106242903,1.03194930934307,1.320442106242903,10,0.4,0.4666666666666668
82.5,1.1509757846664326,1.3768759350370647,1.1509757846664326,1.3768759350370647,10,0.5,0.4666666666666668
83.0,1.0654442612402055,1.2482924672370859,3.6308885224804115,3.996584934474172,10,0.6,0.5000000000000001
83.5,0.9340507424424682,1.1883013022812356,3.692641583877266,4.23504277819997,10,0.6,0.5666666666666668
84.0,1.0710962356978868,1.3286800428788372,4.156411718535351,4.723096094333442,10,0.6,0.6
84.5,1.125149384776077,1.2363619448735248,3.9253087285372263,4.155148019405285,10,0.4,0.5333333333333334
85.0,1.250715555917689,1.8784992004992547,4.0014311118353785,5.25699840099851,10,0.5,0.5000000000000001
85.5,1.0084804115969888,1.160539845994989,1.0084804115969888,1.160539845994989,10,0.4,0.4333333333333334
86.0,0.9714280112376095,1.0374419950183855,0.9714280112376095,1.0374419950183855,10,0.3,0.40000000000000013
86.5,0.9383138719605769,1.0231558895347632,0.9383138719605769,1.0231558895347632,10,0.3,0.3333333333333335
87.0,1.1506427236032812,1.2281941883379535,1.1506427236032812,1.2281941883379535,10,0.4,0.3333333333333335
87.5,1.2092527148136578,1.3275084556838643,1.2092527148136578,1.3275084556838643,10,0.5,0.4000000000000001
88.0,0.9441244237844428,1.092898629199451,0.9441244237844428,1.092898629199451,10,0.5,0.4666666666666668
88.5,0.9716932147039978,1.0836416718153588,0.9716932147039978,1.0836416718153588,10,0.3,0.4333333333333335
89.0,0.9939008995958938,1.1554041453787887,0.9939008995958938,1.1554041453787887,10,0.4,0.40000000000000013
89.5,1.021169159409256,1.3319602614727726,1.021169159409256,1.3319602614727726,10,0.4,0.36666666666666675
90.0,1.0852522495111538,1.181869595930684,1.0852522495111538,1.181869595930684,10,0.4,0.4
90.5,1.1069438506412341,1.2746882561258488,1.1069438506412341,1.2746882561258488,10,0.4,0.4
91.0,1.115165178050296,1.2338870754671416,1.115165178050296,1.2338870754671416,10,0.4,0.4
91.5,0.9311855947164227,1.1141655979739047,0.9311855947164227,1.1141655979739047,10,0.3,0.36666666666666686
92.0,0.9029136078019556,1.0235473465964202,0.9029136078019556,1.0235473465964202,10,0.3,0.3333333333333334
92.5,1.1299414656143267,1.1367017158829513,1.1299414656143267,1.1367017158829513,10,0.6,0.40000000000000013
93.0,1.0524854405945727,1.1194586749470077,1.0524854405945727,1.1194586749470077,10,0.3,0.40000000000000013
93.5,1.054134409010397,1.3140533951379463,1.054134409010397,1.3140533951379463,10,0.4,0.4333333333333334
94.0,0.9942775984143581,1.1640503248151777,0.9942775984143581,1.1640503248151777,10,0.4,0.36666666666666686
94.5,1.1192299998512916,1.338778936042903,1.1192299998512916,1.338778936042903,10,0.5,0.4333333333333335
95.0,1.2021608994682769,1.3633486644112953,3.904321798936554,4.226697328822591,10,0.6,0.5000000000000001
95.5,1.256521161787334,1.354831228516164,4.196810401027157,4.399984538933406,10,0.5,0.5333333333333334
96.0,1.3147763306675844,1.403571254821806,4.5048561720908475,4.694285343619853,10,0.6,0.5666666666666668
96.5,1.0481984778265936,1.0493315142372714,1.0481984778265936,1.0493315142372714,10,0.3,0.4666666666666668
97.0,1.2016855047717523,1.263900377618063,1.2016855047717523,1.263900377618063,10,0.4,0.4333333333333335
97.5,1.2315030894103516,1.2145926263202036,1.2315030894103516,1.2145926263202036,10,0.7,0.4666666666666668
98.0,1.0517544325114587,1.295533652296289,3.773625827190349,4.2774362147456655,10,0.5,0.5333333333333335
98.5,1.2895798373891025,1.2442441078319657,4.451103653096753,4.354387430041529,10,0.5,0.5666666666666669
99.0,1.1805892518601975,1.0222188288130554,1.1805892518601975,1.0222188288130554,10,0.3,0.4333333333333335
99.5,1.255697225163819,1.522346310411339,1.255697225163819,1.522346310411339,10,0.5,0.4333333333333335
100.0,1.0290813813808088,1.3025326752878048,1.0290813813808088,1.3025326752878048,10,0.4,0.4000000000000002
100.5,1.0459468042601847,1.1449903552384921,1.0459468042601847,1.1449903552384921,10,0.4,0.4333333333333335
101.0,1.2353283432160183,1.2404770951792259,1.2353283432160183,1.2404770951792259,10,0.4,0.4
101.5,1.209281224965229,1.3490118595802274,1.209281224965229,1.3490118595802274,10,0.6,0.46666666666666684
102.0,1.291669829103324,1.244379846383152,4.083339658206649,3.9887596927663043,10,0.5,0.5000000000000001
102.5,1.4080025474265234,1.4695885973979774,4.316005094853047,4.439177194795955,10,0.4,0.5000000000000001
103.0,1.2937647246084452,1.487223420803652,1.2937647246084452,1.487223420803652,10,0.5,0.4666666666666668
103.5,1.0647502996030649,1.2379065441786734,3.62950059920613,3.9758130883573473,10,0.6,0.5000000000000001
104.0,1.1907935910307645,1.6495877734131723,3.8815871820615295,4.799175546826345,10,0.4,0.5000000000000001
104.5,1.3039948976385882,1.3164007474664787,1.3039948976385882,1.3164007474664787,10,0.4,0.46666666666666684
105.0,1.049446617198973,1.0901598488358522,1.049446617198973,1.0901598488358522,10,0.3,0.36666666666666686
105.5,1.0265725100996705,1.2570198404181014,1.0265725100996705,1.2570198404181014,10,0.5,0.40000000000000013
106.0,1.1623094232137359,1.4334557796591425,1.1623094232137359,1.4334557796591425,10,0.6,0.4666666666666668
106.5,1.2005293583266963,1.4776166945412135,4.2611292977636195,4.852248948354589,10,0.6,0.5666666666666668
107.0,1.0700836905027908,1.3106614008184259,3.9828452064059543,4.49607765507931,10,0.5,0.5666666666666668
107.5,1.0461637487208848,1.2763989393806743,3.7620717473564964,4.237891141386728,10,0.5,0.5333333333333335
108.0,0.9728307325535221,1.284619050227091,3.4456614651070443,4.069238100454182,10,0.5,0.5
108.5,0.9671551717596397,1.1500709762074597,0.9671551717596397,1.1500709762074597,10,0.4,0.4666666666666668
109.0,1.1650191139433514,1.4026951967299408,1.1650191139433514,1.4026951967299408,10,0.4,0.43333333333333357
109.5,1.171189774944792,1.2176371711142757,1.171189774944792,1.2176371711142757,10,0.5,0.43333333333333357
110.0,1.0568949233617055,1.158849147990714,1.0568949233617055,1.158849147990714,10,0.4,0.43333333333333357
