run,elapsed_s,state,raw_fd,raw_fd_position,max_raw_fd_position,dump_count,dump_bytes,rchar,wchar,read_bytes,write_bytes,signal
C1,31.322384,running,27,4500000000,4500000000,10,62337920,4500186262,62415248,0,102400,
C1,31.826418,running,27,4500000000,4500000000,10,62337920,4500186262,62415248,0,102400,
C1,32.331017,running,27,4500000000,4500000000,10,62337920,4500186262,62415248,0,102400,SIGINT
C2,1e-05,running,,,,0,0,1748,0,0,0,
C2,0.503385,running,,,,6,0,145984,43656,0,57344,
C2,1.006231,running,,,,10,0,182900,73232,0,94208,
C2,1.509822,running,27,29958144,29958144,10,0,30488471,73232,0,94208,
C2,2.012332,running,27,162721792,162721792,10,0,163190679,73232,0,94208,
C2,2.51559,running,27,295645184,295645184,10,0,295831447,73232,0,94208,
C2,3.01817,running,27,444989440,444989440,10,0,445491095,73232,0,94208,
C2,3.520336,running,27,598683648,598683648,10,0,599127959,73232,0,94208,
C2,4.022567,running,27,737804288,737804288,10,0,738088855,73232,0,94208,
C2,4.524792,running,27,881156096,881156096,10,0,881727383,73232,0,94208,
C2,5.027042,running,27,1030701056,1030701056,10,0,1031268247,73232,0,94208,
C2,5.529434,running,27,1184907264,1184907264,10,0,1185568663,73232,0,94208,
C2,6.032954,running,27,1344811008,1344811008,10,0,1345439639,73232,0,94208,
C2,6.535911,running,27,1470541824,1470541824,10,0,1471072151,73232,0,94208,
C2,7.038737,running,27,1617395712,1617395712,10,0,1617880983,73232,0,94208,
C2,7.541724,running,27,1767325696,1767325696,10,0,1767995287,73232,0,94208,
C2,8.044555,running,27,1876652032,1876652032,10,0,1876998039,73232,0,94208,
C2,8.547511,running,27,1955016704,1955016704,10,0,1955493783,73232,0,94208,
C2,9.05115,running,27,2063523840,2063523840,10,0,2063869847,73232,0,94208,
C2,9.554575,running,27,2131480576,2131480576,10,0,2132105111,73232,0,94208,
C2,10.057341,running,27,2270920704,2270920704,10,0,2271352727,73232,0,94208,
C2,10.559593,running,27,2411638784,2411638784,10,0,2412140439,73232,0,94208,
C2,11.062942,running,27,2520748032,2520748032,10,0,2521450391,73232,0,94208,
C2,11.571217,running,27,2653085696,2653085696,10,0,2653820823,73232,0,94208,
C2,12.075546,running,27,2794414080,2794414080,10,0,2794862487,73232,0,94208,
C2,12.578343,running,27,2931912704,2931912704,10,0,2932438935,73232,0,94208,
C2,13.080673,running,27,3030159360,3030159360,10,1171456,3031111575,1261072,0,94208,
C2,13.588075,running,27,3091730432,3091730432,10,3735552,3092518807,3816976,0,94208,
C2,14.09509,running,27,3144429568,3144429568,10,5947776,3145316247,6021008,0,94208,
C2,14.603646,running,27,3202732032,3202732032,10,8348288,3203815319,8437904,0,94208,
