scenario,family,phase,time_s,method,budget,tracked_prn_count,used_prn_count,prn_scores_json,pooled_score,calibrated_score
ds7,ds7_ds8,strict_pre,103.995594748,analytic_two_source_glrt,187,10,10,"{""10"": 0.4107093402062618, ""13"": 0.07887092997174638, ""16"": 0.10845101543148597, ""19"": 0.16264546362260462, ""20"": 0.5413230486808047, ""23"": 0.07470446918860334, ""3"": 0.04807915413655489, ""30"": 1.937596382761971, ""6"": 0.33436083218273416, ""7"": 0.8513273888717797}",0.2485031479026694,0.30073076203159477
ds7,ds7_ds8,strict_pre,103.995594748,dense_nf,187,10,10,"{""10"": -3.736964702606201, ""13"": -4.425976753234863, ""16"": -4.116750240325928, ""19"": -4.203322887420654, ""20"": -4.176965713500977, ""23"": -4.120438098907471, ""3"": -4.250718116760254, ""30"": -3.6970839500427246, ""6"": -3.9120535850524902, ""7"": -4.716852188110352}",-4.148701906204224,1.5064669433916862
ds7,ds7_ds8,strict_pre,103.995594748,dense_one_source_residual,187,10,10,"{""10"": 1.4551621575165483, ""13"": 0.24631687064857577, ""16"": 0.2876112438763853, ""19"": 0.44914382308674206, ""20"": 1.324504297760568, ""23"": 0.1744303272714931, ""3"": 0.23055477638233096, ""30"": 3.002526980112092, ""6"": 0.5267281599732453, ""7"": 1.5906232597628365}",0.4879359915299937,-0.049141545059172814
ds7,ds7_ds8,strict_pre,103.995594748,epl_3,3,10,10,"{""10"": -4.685803145499723, ""13"": -4.752087769056266, ""16"": -4.745727505254355, ""19"": -4.689887451505011, ""20"": -4.502050901414772, ""23"": -4.73214913452896, ""3"": -4.772478205079558, ""30"": -3.817758523687896, ""6"": -4.549219979115985, ""7"": -4.650378453781634}",-4.687845298502367,0.2551754070478086
ds7,ds7_ds8,strict_pre,103.995594748,epl_3_complex,3,10,10,"{""10"": 0.0008569905567777716, ""13"": 0.00010329121990082046, ""16"": 0.00036894118342974537, ""19"": 0.0008315986599021116, ""20"": 0.0017342785928628618, ""23"": 0.00014974792077735192, ""3"": 0.0005057170810654361, ""30"": 0.007836542179753785, ""6"": 0.0013757666256486638, ""7"": 0.0016226195056199752}",0.0008442946083399416,0.8224075354592304
ds7,ds7_ds8,strict_pre,103.995594748,fixed_9_delay_tap_complex,9,10,10,"{""10"": 0.0008164488193331909, ""13"": 8.02092988663607e-05, ""16"": 0.000271549129151233, ""19"": 0.0005936975002795691, ""20"": 0.001199104563248346, ""23"": 9.121146906586779e-05, ""3"": 0.00023166062708620476, ""30"": 0.005230719337580629, ""6"": 0.0007611082030120158, ""7"": 0.0010517001173182923}",0.0006774028516457924,2.354743341298383
ds7,ds7_ds8,strict_pre,103.995594748,fixed_delay_9,9,10,10,"{""10"": -4.900928473202117, ""13"": -5.025526880533729, ""16"": -4.99354245342249, ""19"": -5.030958732788804, ""20"": -4.819876732648696, ""23"": -5.032486069516661, ""3"": -5.099459535150748, ""30"": -4.400846541237851, ""6"": -4.8325346334994475, ""7"": -4.85014734823291}",-4.947235463312303,0.7881451696314405
ds7,ds7_ds8,strict_pre,103.995594748,learned_fixed,3,10,10,"{""10"": 2.813260098689374, ""13"": 1.2776901651095633, ""16"": 3.654707533885702, ""19"": 2.723439668117494, ""20"": 3.7010142338394694, ""23"": 3.322466378020296, ""3"": 3.578613220978873, ""30"": 3.1838431626843, ""6"": 3.046250179920269, ""7"": 2.314306386534539}",3.1150466713022844,0.603526138839748
ds7,ds7_ds8,strict_pre,103.995594748,learned_fixed,5,10,10,"{""10"": 0.8544863598284301, ""13"": -0.25005641482846563, ""16"": 1.8925493251976895, ""19"": 1.0822525713351692, ""20"": 1.5911329069288118, ""23"": 1.6369474845690177, ""3"": 1.913109974250696, ""30"": 1.5976924349252397, ""6"": 1.3757074150791297, ""7"": 0.5037409157512467}",1.4834201610039708,0.9332996201293958
ds7,ds7_ds8,strict_pre,103.995594748,learned_fixed,9,10,10,"{""10"": -1.1895293518061396, ""13"": -1.9356206780147944, ""16"": -0.22656997691822514, ""19"": -0.9116304483703003, ""20"": -0.7498751627396557, ""23"": -0.45598532510781314, ""3"": -0.24206559134012848, ""30"": -0.4903632393123891, ""6"": -0.713921762853967, ""7"": -1.5056636855996979}",-0.7318984627968114,0.37741605257854943
