prn_count,trial,primary_pre_bin_count,primary_post_bin_count,legacy_pre_raw_alarm_rate,partial_f_pre_raw_alarm_rate,legacy_pre_persistent_alarm_rate,partial_f_pre_persistent_alarm_rate,pre_median_residual,pre_median_partial_f_p_value,pre_median_design_condition_number,legacy_ds7_persistent_detection,legacy_ds7_detection_delay_s,partial_f_ds7_persistent_detection,partial_f_ds7_detection_delay_s,partial_f_specificity_gate_passed
8,10,60,161,0.25,0.11666666666666667,0.11666666666666667,0.0,0.602190661205863,0.5224535436960847,8.113431424414767,True,73.0,True,100.0,True
8,11,60,161,0.23333333333333334,0.08333333333333333,0.1,0.0,0.5107947631105738,0.3957156747144428,5.328538681959033,True,16.0,True,119.0,True
8,12,60,161,0.21666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.5786493125168456,0.4891137210897077,8.638002381217767,True,96.0,True,133.0,True
8,13,60,161,0.21666666666666667,0.05,0.0,0.0,0.5043090060871305,0.38737587949754926,6.211658369011987,True,45.0,True,121.0,True
8,14,60,161,0.2,0.11666666666666667,0.03333333333333333,0.0,0.5613702840971033,0.4648817568404469,5.295860574710992,True,55.0,True,131.0,True
8,15,60,161,0.21666666666666667,0.06666666666666667,0.0,0.0,0.5043090060871305,0.3873758794975493,6.211658369011985,True,20.0,True,121.0,True
8,16,60,161,0.26666666666666666,0.1,0.15,0.0,0.5297624569198564,0.42134316242611414,5.347252726772673,True,62.0,True,100.0,True
8,17,60,161,0.23333333333333334,0.1,0.1,0.0,0.5107947631105738,0.3957156747144428,5.328538681959035,True,19.0,True,119.0,True
8,18,60,161,0.23333333333333334,0.1,0.1,0.0,0.5107947631105738,0.3957156747144428,5.328538681959033,True,19.0,True,119.0,True
8,19,60,161,0.23333333333333334,0.06666666666666667,0.11666666666666667,0.0,0.5791722466125578,0.48984149067379856,6.1736198698962514,True,32.0,True,127.0,True
8,20,60,161,0.23333333333333334,0.08333333333333333,0.03333333333333333,0.0,0.4881071854145161,0.3656116435091079,5.8502728901853995,True,28.0,True,101.0,True
8,21,60,161,0.3,0.08333333333333333,0.16666666666666666,0.03333333333333333,0.44599739280379375,0.3118252104925909,5.924007487187838,True,66.0,True,129.0,True
8,22,60,161,0.23333333333333334,0.1,0.03333333333333333,0.0,0.51581801315563,0.4024151401930455,7.219534755251246,True,25.0,True,121.0,True
8,23,60,161,0.2,0.03333333333333333,0.016666666666666666,0.0,0.5540689062072703,0.4548064198960897,10.752188062152413,True,32.0,True,131.0,True
8,24,60,161,0.23333333333333334,0.1,0.1,0.0,0.5107947631105738,0.3957156747144428,5.328538681959037,True,19.0,True,119.0,True
8,25,60,161,0.25,0.08333333333333333,0.11666666666666667,0.0,0.5409977047245156,0.4366835462205498,5.85852109371099,True,20.0,True,119.0,True
8,26,60,161,0.25,0.05,0.11666666666666667,0.0,0.4891316113977646,0.36731598694788264,7.029831991169482,True,41.0,True,133.0,True
8,27,60,161,0.23333333333333334,0.05,0.13333333333333333,0.0,0.540624519467167,0.4361910736745026,6.257794991963097,True,44.0,True,132.0,True
8,28,60,161,0.2833333333333333,0.08333333333333333,0.16666666666666666,0.03333333333333333,0.45295022080853076,0.3204820137188089,5.924007487187842,True,21.0,True,22.0,True
8,29,60,161,0.16666666666666666,0.1,0.0,0.0,0.5380480849278063,0.43262441639002436,6.057707436465284,True,88.0,True,127.0,True
8,30,60,161,0.2,0.11666666666666667,0.03333333333333333,0.0,0.5692769511717394,0.47595755491841657,5.295860574710993,True,55.0,True,131.0,True
8,31,60,161,0.25,0.05,0.0,0.0,0.5214767135775817,0.4100945512382141,7.040860344495485,True,42.0,True,133.0,True
8,32,60,161,0.23333333333333334,0.06666666666666667,0.11666666666666667,0.0,0.5104798820337362,0.3952901370634252,6.121112117985902,True,48.0,True,119.0,True
8,33,60,161,0.2,0.06666666666666667,0.0,0.0,0.5754003864346602,0.4845308575086742,5.914127110341738,True,75.0,True,133.0,True
8,34,60,161,0.21666666666666667,0.06666666666666667,0.0,0.0,0.5043090060871304,0.38737587949754926,6.211658369011986,True,16.0,True,121.0,True
8,35,60,161,0.2,0.06666666666666667,0.0,0.0,0.5754003864346602,0.48453085750867453,5.914127110341736,True,75.0,True,133.0,True
8,36,60,161,0.23333333333333334,0.08333333333333333,0.05,0.0,0.5021702320137862,0.3841697433772361,5.368315027157023,True,44.0,True,121.0,True
8,37,60,161,0.23333333333333334,0.05,0.13333333333333333,0.0,0.5249491016618536,0.41479302628974335,6.25536930075643,True,19.0,True,132.0,True
8,38,60,161,0.23333333333333334,0.08333333333333333,0.03333333333333333,0.0,0.51581801315563,0.4024151401930455,7.219534755251246,True,41.0,True,121.0,True
8,39,60,161,0.23333333333333334,0.08333333333333333,0.05,0.0,0.5021702320137864,0.38416974337723625,5.366311527339627,True,46.0,True,121.0,True
8,40,60,161,0.26666666666666666,0.1,0.1,0.0,0.5191853407038629,0.4069715583363468,5.832749783644216,True,68.0,True,129.0,True
8,41,60,161,0.2,0.11666666666666667,0.03333333333333333,0.0,0.5613702840971034,0.464881756840447,5.295860574710993,True,20.0,True,131.0,True
8,42,60,161,0.2,0.08333333333333333,0.016666666666666666,0.0,0.5536943187036361,0.45421077481255556,6.401318488821529,True,75.0,True,127.0,True
8,43,60,161,0.2833333333333333,0.06666666666666667,0.11666666666666667,0.0,0.47173024116748996,0.3443718515792694,5.299817154592097,True,40.0,True,121.0,True
8,44,60,161,0.23333333333333334,0.06666666666666667,0.11666666666666667,0.0,0.5012059460563896,0.38288211679955797,6.121112117985901,True,19.0,True,119.0,True
8,45,60,161,0.2833333333333333,0.08333333333333333,0.16666666666666666,0.03333333333333333,0.45295022080853076,0.32048201371880897,5.926782946190248,True,21.0,True,129.0,True
8,46,60,161,0.23333333333333334,0.1,0.1,0.0,0.5107947631105738,0.3957156747144429,5.328538681959035,True,19.0,True,119.0,True
8,47,60,161,0.25,0.06666666666666667,0.08333333333333333,0.0,0.5607939526801997,0.46407968728399374,5.387851768612293,True,98.0,True,127.0,True
8,48,60,161,0.23333333333333334,0.1,0.11666666666666667,0.0,0.5997038541732804,0.518933918626862,7.509341168288918,True,92.0,True,132.0,True
8,49,60,161,0.21666666666666667,0.08333333333333333,0.016666666666666666,0.0,0.5367419771586313,0.4308363855358155,7.712427368248223,True,63.0,True,119.0,True
8,50,60,161,0.23333333333333334,0.06666666666666667,0.11666666666666667,0.0,0.579172246612558,0.4898414906737986,6.1736198698962514,True,32.0,True,127.0,True
8,51,60,161,0.25,0.06666666666666667,0.08333333333333333,0.0,0.5607939526801997,0.4640796872839936,5.385183153182403,True,98.0,True,127.0,True
8,52,60,161,0.25,0.08333333333333333,0.11666666666666667,0.0,0.5409977047245156,0.4366835462205497,5.858521093710988,True,36.0,True,119.0,True
8,53,60,161,0.23333333333333334,0.1,0.06666666666666667,0.0,0.4948541832201409,0.37447694388491737,7.588316334529564,True,19.0,True,118.0,True
8,54,60,161,0.26666666666666666,0.08333333333333333,0.05,0.0,0.5720679296847921,0.4798463493477997,5.318038129180644,True,41.0,True,133.0,True
8,55,60,161,0.26666666666666666,0.08333333333333333,0.05,0.0,0.572067929684792,0.4798463493477997,5.316037944065986,True,104.0,True,133.0,True
8,56,60,161,0.26666666666666666,0.1,0.15,0.0,0.5382962241447637,0.4329647907048476,5.34472142067589,True,62.0,True,100.0,True
8,57,60,161,0.2833333333333333,0.1,0.06666666666666667,0.0,0.5428190044561445,0.439182514347108,5.316037944065984,True,44.0,True,133.0,True
8,58,60,161,0.23333333333333334,0.1,0.03333333333333333,0.0,0.5495924345936903,0.44856305876454144,6.4385431572756495,True,25.0,True,122.0,True
8,59,60,161,0.23333333333333334,0.05,0.13333333333333333,0.0,0.5249491016618537,0.41479302628974357,6.255369300756426,True,19.0,True,132.0,True
8,60,60,161,0.23333333333333334,0.05,0.13333333333333333,0.0,0.5249491016618537,0.4147930262897435,6.257794991963095,True,19.0,True,132.0,True
8,61,60,161,0.23333333333333334,0.1,0.06666666666666667,0.0,0.5069140206319658,0.39056616461978055,7.588316334529572,True,21.0,True,118.0,True
8,62,60,161,0.23333333333333334,0.08333333333333333,0.05,0.0,0.5021702320137864,0.38416974337723625,5.366311527339626,True,46.0,True,121.0,True
8,63,60,161,0.26666666666666666,0.1,0.15,0.0,0.5297624569198562,0.42134316242611425,5.344721420675889,True,36.0,True,100.0,True
9,0,60,161,0.13333333333333333,0.08333333333333333,0.0,0.0,0.6416766330661937,0.4910512093151098,6.490570387795027,True,75.0,True,119.0,True
9,1,60,161,0.16666666666666666,0.03333333333333333,0.0,0.0,0.6088913630550619,0.4404056796914788,7.499429592796165,True,120.0,True,120.0,True
