track,fold,experiment,model,view,training_view,train_count,test_count,train_spoof_count,train_prn_count,test_spoof_count,test_prn_count,train_block_count,test_block_count,scaler_fit_sample_count,threshold,auroc,auprc,balanced_accuracy,tpr_at_5pct_fpr,spoof_recall,prn_false_positive_rate,tn,fp,fn,tp
A,3,destruction_retrained,M2R,circular_shift,circular_shift,121,64,53,68,32,32,5,2,121,0.5,0.9619140625,0.9718712603148776,0.796875,0.9375,0.96875,0.375,20,12,1,31
A,3,destruction_cross_apply,M2R,circular_shift,actual,121,64,53,68,32,32,5,2,121,0.5,0.48046875,0.545670552374502,0.46875,0.09375,0.71875,0.78125,7,25,9,23
A,3,destruction_retrained,M2,fourier_phase_randomized,fourier_phase_randomized,121,64,53,68,32,32,5,2,121,0.5,0.9560546875,0.9675239786774925,0.796875,0.84375,0.90625,0.3125,22,10,3,29
A,3,destruction_cross_apply,M2,fourier_phase_randomized,actual,121,64,53,68,32,32,5,2,121,0.5,0.0126953125,0.31520112137169837,0.5,0.0,1.0,1.0,0,32,0,32
A,3,destruction_retrained,M2R,fourier_phase_randomized,fourier_phase_randomized,121,64,53,68,32,32,5,2,121,0.5,1.0,1.0,0.765625,1.0,1.0,0.46875,17,15,0,32
A,3,destruction_cross_apply,M2R,fourier_phase_randomized,actual,121,64,53,68,32,32,5,2,121,0.5,0.3720703125,0.4705899506453736,0.5,0.03125,0.96875,0.96875,1,31,1,31
A,3,stress_cross_apply,M2,channel_permutation,actual,121,64,53,68,32,32,5,2,121,0.5,1.0,1.0,0.5,1.0,0.0,0.0,32,0,32,0
A,3,stress_cross_apply,M2R,channel_permutation,actual,121,64,53,68,32,32,5,2,121,0.5,0.0,0.31460429173075105,0.328125,0.0,0.0,0.34375,21,11,32,0
A,3,stress_cross_apply,M3,channel_permutation,actual,121,64,53,68,32,32,5,2,121,0.5,0.61328125,0.7456632311080169,0.5,0.4375,1.0,1.0,0,32,0,32
A,3,stress_cross_apply,M2,one_channel_ablation,actual,121,64,53,68,32,32,5,2,121,0.5,0.5908203125,0.5578575958348856,0.5,0.03125,0.0,0.0,32,0,32,0
A,3,stress_cross_apply,M2R,one_channel_ablation,actual,121,64,53,68,32,32,5,2,121,0.5,0.0,0.31460429173075105,0.5,0.0,0.0,0.0,32,0,32,0
A,3,stress_cross_apply,M3,one_channel_ablation,actual,121,64,53,68,32,32,5,2,121,0.5,0.5966796875,0.5582154703618538,0.5,0.03125,1.0,1.0,0,32,0,32
