t,b0_end_s,b0_median,b0_q90,b0_q99,b0_energy,tracked_prns,b0_residual_vector_l2,m1_end_s,m1_ar_rmse,m1_ar_score,m1_level,m1_innov_0,m1_innov_1,m1_innov_2,m1_innov_3,m1_innov_4,m1_innov_5,m1_innov_6,m1_innov_7,available_s,b0_frac_exceed,S_B0,S_M1,S_joint,S_cross,S_cascade,S_full,p_S_B0,p_S_M1,S_mean,S_max,S_fisher
83.0,83.71602,0.3317742347717285,0.39340174198150635,0.39493038654327395,11.266469329595566,11,0.3373465862708588,83.01,1.4015191685817272,0.0,1.0440280703008138,1.6749276478931927,0.32237430304216624,-1.115753190317328,3.008958970138424,0.24235910606558117,0.9971706403809969,-0.9421819738145634,-0.7518022761907153,83.71602,0.0,1.1311961984436094,0.35077289863521954,0.1912647867233598,0.14060143260358793,0.1776553548156173,0.19059970870331072,0.1923076923076923,0.858974358974359,0.7409845485394144,1.1311961984436094,3.6013496657720148
83.5,84.21602,0.3291490077972412,0.35508206486701965,0.40182392895221714,10.359298586845398,11,0.3234801069986989,83.51,1.8250072278586131,1.0701160316226488,0.8340914483060258,4.018713286539792,-0.8966749096151475,-0.02781218863252105,-0.2996736163235696,2.4589140264225744,0.11432204239390206,0.8958164065416423,-1.654912726956833,84.21602,0.0,1.606493917155605,1.1670636832794894,0.1622147791742153,0.005366393627529129,1.3251920137900304,0.168551601163959,0.0854700854700855,0.24786324786324787,1.3867788002175472,1.606493917155605,7.708933893229984
84.0,84.71602,0.3317403197288513,0.4195823669433594,0.46877684295177463,11.366009652614594,11,0.33883355522380454,84.01,1.5336036862500244,0.24010851858795168,1.0438068726496574,-0.43798220498568907,-1.8148301239364986,-0.6398972978288628,0.06766657361429995,0.1745804112419724,2.8190794835645936,-0.392852293166559,-2.6046146827049066,84.71602,0.0,0.8943736262963788,0.38077464389546484,0.20103954062507617,0.05291556259945104,9.115504363392708e-05,0.19359614666574088,0.2927350427350427,0.829059829059829,0.6375741350959219,0.8943736262963788,2.831900652767791
84.5,85.21602,0.33490636944770813,0.4038929343223572,0.41445201337337495,11.594003677368164,11,0.34221505763095994,84.51,1.0233318758131886,0.0,0.9197301132391614,0.1552705233185951,-0.8015875278744522,-0.812217401299825,1.5957730612436203,-0.629176975747822,0.7852567888875367,-1.6990776594319867,-0.7781182237527361,85.21602,0.0,0.894275651329783,0.9452773095628701,0.19333805594499218,0.18603913589098642,0.0,0.19151036875810187,0.2948717948717948,0.3931623931623932,0.9197764804463266,0.9452773095628701,4.3094942981382065
85.0,85.71602,0.33760499954223633,0.3805828094482422,0.4079029858112335,10.949169874191284,11,0.33256229052573777,85.01,1.1647058946849536,0.0,0.9212964928531037,-1.316387017267446,2.1550268759757385,0.467756123276717,-1.4024410093633617,1.0777283539194862,-0.4439602183592482,0.3422958167890019,0.9021645478387841,85.71602,0.0,1.2044638707034336,0.6855932733290702,0.18000832847248113,0.25839819161295613,0.5771016045800259,0.18104563443651653,0.16666666666666663,0.5641025641025641,0.9450285720162519,1.2044638707034336,4.728557323998771
85.5,86.21602,0.28775131702423096,0.364801824092865,0.44969376623630525,9.659514427185059,11,0.3123633288244576,85.51,2.399305674783258,2.705895827023613,1.1665613838496955,3.7579680474672505,-4.3421410747760545,-0.17781672276692534,-1.4599338479161934,-1.6527108363230458,-1.5910619927753444,-0.42813837257071674,-2.33828341796427,86.21602,0.0,1.992561765696572,2.209801254504782,0.199954134026148,0.007749050376469068,5.356323930964592,0.11585094891531644,0.06196581196581197,0.02991452991452992,2.1011815101006768,2.209801254504782,12.581166864467122
86.0,86.71602,0.33666718006134033,0.41747280955314636,0.487494370341301,12.278076350688934,11,0.3521661121151873,86.01,1.7011189525358112,0.7172438642934171,0.9519240009366899,0.9177021488738182,-1.1729026067993533,0.7809417636815867,-2.6616425933857006,1.9784932755025815,1.5902830079200985,0.6035575444387791,2.5358704693267717,86.71602,0.0,0.6533993462424644,0.554544115701053,0.2079168842978593,0.01081217866808851,0.6380028728977533,0.1817353813798821,0.45940170940170943,0.6944444444444444,0.6039717309717587,0.6533993462424644,2.2849467627557862
86.5,87.21602,0.3583393096923828,0.4431326389312744,0.5109670460224152,14.140974879264832,11,0.3779393209012947,86.51,1.9216968501362164,1.3455180136297624,1.1516663148080408,-2.102266756739463,3.815762026781335,-0.9890974738653237,1.2571790923661559,1.5802214425374395,-0.9402582581909084,2.0087977912102066,0.767149177447071,87.21602,0.0,0.6764924723639466,1.3651039575730377,0.2097718977950684,0.22848968981598414,0.7193677482054094,0.18065344762733374,0.4358974358974359,0.1709401709401709,1.0207982149684922,1.3651039575730377,5.193579926634392
87.0,87.71602,0.3378404974937439,0.4317917227745056,0.4392903745174408,12.617313146591187,11,0.3569980492385571,87.01,1.8627604482979094,1.17764889286687,1.0116548919563997,-0.5230914635258379,2.405934968300606,-2.3407597970350698,-2.900508779502184,-1.5788015809683085,2.005575968336212,-0.6609270479469833,-0.9235705626049349,87.71602,0.0,0.4883107839940164,0.8632724492452915,0.21249930670109593,0.1322816723920093,0.05634016463540824,0.19156230703282648,0.6773504273504274,0.4423076923076923,0.6757916166196539,0.8632724492452915,2.4106320493852875
87.5,88.21602,0.38835975527763367,0.465006023645401,0.4849461019039154,14.265315532684326,11,0.3795972815180271,87.51,1.2189195547387368,0.0,1.0309588302740682,-0.8796911631975395,0.22046998575161558,-0.4228229905768435,-1.2291939980617879,0.050509810139147716,-2.5930378511465917,0.8967825222949323,1.3576976442663258,88.21602,0.0,0.83513769387599,0.5349004300748652,0.19986071905895314,0.19504261317151325,1.278328392969534,0.16937662157546532,0.3290598290598291,0.717948717948718,0.6850190619754276,0.83513769387599,2.8857456589169197
