prompt_semantics,prompt_offset,state_shift,channel,prn,prompt_mat_row,state_mat_row,support_start_sample,mat_prompt_magnitude,reconstructed_center_magnitude,relative_error
current,0,0,7,10,219777,219776,5510607846,3027821.2163480627,3027807.2816490773,4.602219876859159e-06
current,0,1,7,10,219777,219777,5510632846,3027821.2163480627,2064502.1654942706,0.3181558559840192
next,1,-1,7,10,219778,219775,5510582846,2064503.35403714,2517251.09957712,0.21930104625629743
next,1,0,7,10,219778,219776,5510607846,2064503.35403714,3027807.2816490773,0.46660322722566416
next,1,1,7,10,219778,219777,5510632846,2064503.35403714,2064502.1654942706,5.757040147935655e-07
current,0,-1,3,20,219945,219943,5517516534,2413366.4586136406,2354305.946751253,0.02447225188350166
current,0,0,3,20,219945,219944,5517541534,2413366.4586136406,2413386.1049864413,8.140650472165945e-06
current,0,1,3,20,219945,219945,5517566534,2413366.4586136406,2448537.184354652,0.01457330510892052
next,1,-1,3,20,219946,219943,5517516534,2448525.2484597946,2354305.946751253,0.03848002048082144
next,1,0,3,20,219946,219944,5517541534,2448525.2484597946,2413386.1049864413,0.014351146060452846
next,1,1,3,20,219946,219945,5517566534,2448525.2484597946,2448537.184354652,4.874728110282334e-06
current,0,-1,2,3,220875,220873,5522861746,6497612.243425099,6437340.309733149,0.00927601270034839
current,0,0,2,3,220875,220874,5522886746,6497612.243425099,6497587.480078201,3.8111456902578666e-06
current,0,1,2,3,220875,220875,5522911746,6497612.243425099,6309547.001995732,0.02894374646927711
next,1,-1,2,3,220876,220873,5522861746,6308097.410323531,6437340.309733149,0.020488412115847288
next,1,0,2,3,220876,220874,5522886746,6308097.410323531,6497587.480078201,0.03003917939576506
next,1,1,2,3,220876,220875,5522911746,6308097.410323531,6309547.001995732,0.0002297985553978421
current,0,-1,4,30,260429,260427,6515477319,2039913.029955667,2171431.11841996,0.06447239981949204
current,0,0,4,30,260429,260428,6515502319,2039913.029955667,2039915.8845755374,1.3993831249337063e-06
current,0,1,4,30,260429,260429,6515527319,2039913.029955667,2332695.5941155264,0.14352698368038874
next,1,-1,4,30,260430,260427,6515477319,2332700.3327607126,2171431.11841996,0.06913413269414381
next,1,0,4,30,260430,260428,6515502319,2332700.3327607126,2039915.8845755374,0.12551309916377884
next,1,1,4,30,260430,260429,6515527319,2332700.3327607126,2332695.5941155264,2.031399026991565e-06
current,0,-1,0,16,261776,261774,6546441816,5544791.874510305,5289460.063802504,0.046048944033693084
current,0,0,0,16,261776,261775,6546466816,5544791.874510305,5544801.2926808065,1.698561589824621e-06
current,0,1,0,16,261776,261776,6546491816,5544791.874510305,5811534.127734075,0.04810681072629586
next,1,-1,0,16,261777,261774,6546441816,5818122.094123034,5289460.063802504,0.09086471919428074
next,1,0,0,16,261777,261775,6546466816,5818122.094123034,5544801.2926808065,0.04697749497527948
next,1,1,0,16,261777,261776,6546491816,5818122.094123034,5811534.127734075,0.0011323183464322373
current,0,-1,5,6,262038,262036,6551968492,5174541.879652465,4741635.016110005,0.08366090633931345
current,0,0,5,6,262038,262037,6551993492,5174541.879652465,5174545.427382743,6.856124388221474e-07
current,0,1,5,6,262038,262038,6552018492,5174541.879652465,4454726.745857201,0.13910702638735017
next,1,-1,5,6,262039,262036,6551968492,4454739.366868163,4741635.016110005,0.06440234222805707
next,1,0,5,6,262039,262037,6551993492,4454739.366868163,5174545.427382743,0.1615820817415472
next,1,1,5,6,262039,262038,6552018492,4454739.366868163,4454726.745857201,2.833164843840663e-06
current,0,-1,10,23,262297,262295,6560417116,6190317.072324797,7013092.979060382,0.1329133705305645
current,0,0,10,23,262297,262296,6560442116,6190317.072324797,6190326.178886361,1.4710977578324957e-06
current,0,1,10,23,262297,262297,6560467116,6190317.072324797,6396592.003983751,0.03332219161780148
next,1,-1,10,23,262298,262295,6560417116,6396572.921452078,7013092.979060382,0.09638287019924219
next,1,0,10,23,262298,262296,6560442116,6396572.921452078,6190326.178886361,0.03224331921145307
next,1,1,10,23,262298,262297,6560467116,6396572.921452078,6396592.003983751,2.9832430439302726e-06
current,0,-1,9,19,262866,262864,6573654137,4811807.546042671,4340851.512906433,0.09787507680425878
current,0,0,9,19,262866,262865,6573679137,4811807.546042671,4811807.558648962,2.6198658797937924e-09
current,0,1,9,19,262866,262866,6573704137,4811807.546042671,4572142.849904704,0.04980762298672414
next,1,-1,9,19,262867,262864,6573654137,4572146.090515407,4340851.512906433,0.050587748735495985
next,1,0,9,19,262867,262865,6573679137,4572146.090515407,4811807.558648962,0.052417718810585656
next,1,1,9,19,262867,262866,6573704137,4572146.090515407,4572142.849904704,7.087723442600335e-07
current,0,-1,6,7,262936,262934,6574398720,4523306.603789146,4239056.346358531,0.06284125360692994
current,0,0,6,7,262936,262935,6574423720,4523306.603789146,4523309.246023369,5.841377679338677e-07
current,0,1,6,7,262936,262936,6574448720,4523306.603789146,4743396.742688159,0.04865691366458447
next,1,-1,6,7,262937,262934,6574398720,4743395.819119491,4239056.346358531,0.10632455987081835
next,1,0,6,7,262937,262935,6574423720,4743395.819119491,4523309.246023369,0.04639852575848835
next,1,1,6,7,262937,262936,6574448720,4743395.819119491,4743396.742688159,1.9470621981376723e-07
current,0,-1,8,13,263113,263111,6579860876,5893516.3406551285,5604317.696174029,0.04907064437679176
current,0,0,8,13,263113,263112,6579885875,5893516.3406551285,5893548.563614343,5.467526914770815e-06
current,0,1,8,13,263113,263113,6579910875,5893516.3406551285,6854913.917205458,0.16312800728460508
next,1,-1,8,13,263114,263111,6579860876,6856698.729758214,5604317.696174029,0.1826507307589329
next,1,0,8,13,263114,263112,6579885875,6856698.729758214,5893548.563614343,0.14046849717397958
next,1,1,8,13,263114,263113,6579910875,6856698.729758214,6854913.917205458,0.0002603020233352682
current,0,-1,1,5,143466,143464,6591433295,1085273.1133715317,1061661.2562173377,0.02175660381085176
current,0,0,1,5,143466,143465,6591458295,1085273.1133715317,1085273.1187963278,4.9985537931007684e-09
current,0,1,1,5,143466,143466,6591483295,1085273.1133715317,924310.2569195988,0.14831552949089688
next,1,-1,1,5,143467,143464,6591433295,924312.2348973018,1061661.2562173377,0.14859591395032923
next,1,0,1,5,143467,143465,6591458295,924312.2348973018,1085273.1187963278,0.17414124558992783
next,1,1,1,5,143467,143466,6591483295,924312.2348973018,924310.2569195988,2.1399453867809726e-06
current,0,-1,1,5,143467,143465,6591458295,924312.2348973018,1085273.1187963278,0.17414124558992783
current,0,0,1,5,143467,143466,6591483295,924312.2348973018,924310.2569195988,2.1399453867809726e-06
current,0,1,1,5,143467,143467,6591508295,924312.2348973018,1101760.643872929,0.19197885982256113
next,1,-1,1,5,143468,143465,6591458295,1099730.9066448463,1085273.1187963278,0.013146659570228425
next,1,0,1,5,143468,143466,6591483295,1099730.9066448463,924310.2569195988,0.15951233948715327
next,1,1,1,5,143468,143467,6591508295,1099730.9066448463,1101760.643872929,0.0018456671680486814
current,0,-1,1,5,143468,143466,6591483295,1099730.9066448463,924310.2569195988,0.15951233948715327
current,0,0,1,5,143468,143467,6591508295,1099730.9066448463,1101760.643872929,0.0018456671680486814
current,0,1,1,5,143468,143468,6591533295,1099730.9066448463,1020778.8377438707,0.07179217063367749
next,1,-1,1,5,143469,143466,6591483295,1020779.1863627541,924310.2569195988,0.0945051885186785
next,1,0,1,5,143469,143467,6591508295,1020779.1863627541,1101760.643872929,0.07933298267838751
next,1,1,1,5,143469,143468,6591533295,1020779.1863627541,1020778.8377438707,3.415223273073309e-07
current,0,-1,1,5,143470,143468,6591533295,1140145.0818109745,1020778.8377438707,0.10469390779417809
current,0,0,1,5,143470,143469,6591558295,1140145.0818109745,1137694.91191458,0.002148998347212716
current,0,1,1,5,143470,143470,6591583295,1140145.0818109745,477295.46867812285,0.5813730407712674
next,1,-1,1,5,143471,143468,6591533295,477295.9625781484,1020778.8377438707,1.1386705896904314
next,1,0,1,5,143471,143469,6591558295,477295.9625781484,1137694.91191458,1.3836256769683097
next,1,1,1,5,143471,143470,6591583295,477295.9625781484,477295.46867812285,1.0347877716920806e-06
current,0,-1,1,5,143471,143469,6591558295,477295.9625781484,1137694.91191458,1.3836256769683097
current,0,0,1,5,143471,143470,6591583295,477295.9625781484,477295.46867812285,1.0347877716920806e-06
current,0,1,1,5,143471,143471,6591608295,477295.9625781484,738078.9484140596,0.5463758470263884
next,1,-1,1,5,143472,143469,6591558295,738078.5834029659,1137694.91191458,0.5414278878939334
next,1,0,1,5,143472,143470,6591583295,738078.5834029659,477295.46867812285,0.3533270312796277
next,1,1,1,5,143472,143471,6591608295,738078.5834029659,738078.9484140596,4.945423182078912e-07
current,0,-1,1,5,143472,143470,6591583295,738078.5834029659,477295.46867812285,0.3533270312796277
current,0,0,1,5,143472,143471,6591608295,738078.5834029659,738078.9484140596,4.945423182078912e-07
current,0,1,1,5,143472,143472,6591633295,738078.5834029659,601791.4977240696,0.18465118585413298
next,1,-1,1,5,143473,143470,6591583295,601792.9643635929,477295.46867812285,0.20687761914453162
next,1,0,1,5,143473,143471,6591608295,601792.9643635929,738078.9484140596,0.22646656262356202
next,1,1,1,5,143473,143472,6591633295,601792.9643635929,601791.4977240696,2.4371164338843343e-06
current,0,-1,1,5,143474,143472,6591633295,140110.31170702347,601791.4977240696,3.295126392855658
current,0,0,1,5,143474,143473,6591658295,140110.31170702347,140111.8674094356,1.1103411256208062e-05
current,0,1,1,5,143474,143474,6591683295,140110.31170702347,46935.62311528621,0.6650095018457274
next,1,-1,1,5,143475,143472,6591633295,43807.48026948334,601791.4977240696,12.73718584182717
next,1,0,1,5,143475,143473,6591658295,43807.48026948334,140111.8674094356,2.1983548596616886
next,1,1,1,5,143475,143474,6591683295,43807.48026948334,46935.62311528621,0.07140659144420036
current,0,-1,1,5,143475,143473,6591658295,43807.48026948334,140111.8674094356,2.1983548596616886
