case_id,dataset,prn,is_target,delta_bic,requested_delay_chips,recovered_delay_chips,requested_doppler_hz,recovered_doppler_hz
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,24,False,-22.022617848590016,0.1,-0.175,-5.0,-5.0
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,27,False,-18.818213548511267,0.1,-0.35,-5.0,65.0
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,10,False,1122.4213176106568,-0.25,-0.025,-25.0,5.0
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,11,True,619.4775403100066,-0.25,-0.25,-25.0,-35.0
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,21,False,855.6100084269419,-0.25,0.175,-25.0,-5.0
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,24,False,-19.643359035020694,-0.25,0.025,-25.0,55.0
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,27,False,-21.22367206448689,-0.25,0.05,-25.0,-15.0
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,10,False,352.1695716427639,0.25,-0.025,-50.0,-35.0
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,11,False,814.1122075458989,0.25,0.025,-50.0,-70.0
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,21,True,1096.9154452681541,0.25,0.225,-50.0,-35.0
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,24,False,-20.05076154693961,0.25,0.35,-50.0,50.0
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,27,False,-20.648249592864886,0.25,0.2,-50.0,20.0
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,3,False,337.3754165796563,-0.05,0.1,-25.0,60.0
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,13,True,354.4995024721138,-0.05,-0.05,-25.0,-35.0
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,16,True,2651.3130393773317,-0.05,-0.05,-25.0,-25.0
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,19,True,1032.9023236576468,-0.05,-0.05,-25.0,-15.0
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,30,True,473.6671263370663,-0.05,-0.05,-25.0,-35.0
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,3,True,568.2297811373137,0.05,0.05,25.0,35.0
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,13,False,388.865618259646,0.05,0.175,25.0,-40.0
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,16,True,2679.7197842099704,0.05,0.05,25.0,25.0
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,19,True,1020.4842760385945,0.05,0.05,25.0,35.0
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,30,True,453.0075985584408,0.05,0.05,25.0,15.0
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,3,True,586.089731533546,-0.1,-0.1,-50.0,-40.0
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,13,True,334.570200660266,-0.1,-0.1,-50.0,-60.0
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,16,False,-18.982838242780417,-0.1,0.025,-50.0,-10.0
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,19,True,1044.4840586762875,-0.1,-0.1,-50.0,-40.0
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,30,True,438.7040833211504,-0.1,-0.1,-50.0,-60.0
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,3,True,220.73708653068752,0.1,0.05,50.0,75.0
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,13,True,408.33289778459584,0.1,0.1,50.0,70.0
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,16,True,578.2481107233325,0.1,0.075,50.0,50.0
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,19,False,-20.30489041050896,0.1,-0.05,50.0,70.0
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,30,True,232.7737242549265,0.1,0.075,50.0,-10.0
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,3,True,28.05639593482192,-0.25,-0.35,0.0,-45.0
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,13,True,32.50144014746911,-0.25,-0.35,0.0,0.0
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,16,True,18.660599832543085,-0.25,-0.35,0.0,5.0
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,19,True,8.059019593631092,-0.25,-0.35,0.0,20.0
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,30,False,74.52160570770502,-0.25,0.3,0.0,75.0
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,3,False,253.85802388750017,0.25,-0.05,-5.0,75.0
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,13,True,238.34511572914198,0.25,0.3,-5.0,5.0
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,16,True,2848.339231071528,0.25,0.25,-5.0,-5.0
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,19,True,1042.533945393283,0.25,0.275,-5.0,5.0
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,30,True,443.0167867904529,0.25,0.25,-5.0,5.0
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,3,True,728.2779151732102,0.0,0.0,5.0,15.0
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,13,False,412.52380012720823,0.0,0.15,5.0,-60.0
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,16,True,1456.2460190281272,0.0,0.0,5.0,5.0
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,19,True,861.7415996221825,0.0,0.0,5.0,15.0
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,30,True,1208.8944949205033,0.0,0.0,5.0,0.0
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,3,True,963.0790659103077,-0.05,-0.025,-25.0,-25.0
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,13,True,586.6830189770553,-0.05,0.0,-25.0,15.0
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,16,False,-20.963250106666237,-0.05,0.075,-25.0,-35.0
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,19,True,456.70274488977157,-0.05,0.025,-25.0,5.0
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,30,True,335.3515116365161,-0.05,0.0,-25.0,0.0
TEXBAT.cleanStatic.single.00,TEXBAT.cleanStatic,3,True,31.212689597625285,0.0,-0.15,0.0,65.0
