window_mid_s,score_mean,score_quorum_offset_gate,score_low_quorum_persistence_gate,prn_count,base_high_fraction,low_high_fraction,low_high_fraction_roll3
90.0,1.0852522495111538,2.636403599217846,3.153454049120077,10,0.3,0.4,0.4
90.5,1.1069438506412341,2.6711101610259744,3.192498931154222,10,0.3,0.4,0.4
91.0,1.115165178050296,3.2072973204905333,3.2072973204905333,10,0.4,0.4,0.4
91.5,0.9311855947164227,2.3898969515462762,0.9311855947164227,10,0.3,0.3,0.36666666666666686
92.0,0.9029136078019556,1.8640790509227378,0.9029136078019556,10,0.2,0.3,0.3333333333333334
92.5,1.1299414656143267,2.7079063449829226,3.233894638105789,10,0.3,0.6,0.40000000000000013
93.0,1.0524854405945727,2.5839767049513163,3.0944737930702315,10,0.3,0.3,0.40000000000000013
93.5,1.054134409010397,3.097441936218715,3.267717563486075,10,0.4,0.4,0.4333333333333334
94.0,0.9942775984143581,2.490844157462973,0.9942775984143581,10,0.3,0.4,0.36666666666666686
94.5,1.1192299998512916,3.738459999702583,3.389229333055745,10,0.5,0.5,0.4333333333333335
95.0,1.2021608994682769,3.3638896190428986,3.904321798936554,10,0.4,0.6,0.5000000000000001
