pair_id,condition,bin_index,prn_count,absolute_centered_correlation,truth_direction_r2,signed_affine_slope,estimated_to_truth_spread_ratio,median_template_distance,partial_f_p_value,raw_spoof_alarm
ccfs-s2-a-london,carrier-coupled,16,12,0.9164204695431873,0.8398264769977559,1.0813600548352464,1.1799824324900527,0.04763415253118593,0.001002718056916905,True
ccfs-s2-a-london,carrier-coupled,17,11,0.8088273096781223,0.6542016168811492,0.8216377792055191,1.0158383246635114,0.03900834076333447,0.0279793675499852,True
ccfs-s2-a-london,carrier-coupled,18,11,0.9252097116135984,0.856013010464118,0.9251631892231158,0.9999497169237433,0.03945170741798831,2.2484419074189884e-05,True
ccfs-s2-a-london,carrier-coupled,19,11,0.8202167860121004,0.6727555760560197,0.8951276080020277,1.091330515623978,0.04016186521988329,0.024717674685111,True
ccfs-s2-a-london,carrier-coupled,20,11,0.9594341684193823,0.9205139235305917,0.9200980730496175,0.95900073536617,0.04270825602493969,0.00018335572705405982,True
ccfs-s2-a-london,carrier-coupled,21,11,0.9147917579552735,0.8368439604228997,0.9338961412534902,1.0208838603234889,0.04560383233047843,0.0008689231764120489,True
ccfs-s2-a-london,carrier-coupled,22,11,0.9522465229870057,0.9067734405408421,0.9590908232368693,1.0071875297883939,0.05679303256478695,0.00040380749494429004,True
ccfs-s2-a-london,carrier-coupled,23,11,0.971503104161865,0.9438182813961395,0.9785357588300001,1.0072389420455863,0.05534483991866712,3.883343291448878e-05,True
ccfs-s2-a-london,carrier-coupled,24,11,0.9610536847828671,0.9236241850347265,1.0052499345230026,1.0459872850392544,0.057466873866334964,0.0002373613997477774,True
ccfs-s2-a-london,carrier-coupled,25,11,0.9773743321834412,0.9552605852110276,1.027666384142357,1.0514562847650848,0.05733938056699239,1.6196594904669806e-05,True
ccfs-s2-a-london,carrier-coupled,26,11,0.963225105390529,0.9278026036545957,1.0681674564548709,1.108948936730417,0.05719411215473122,7.862756415094198e-05,True
ccfs-s2-a-london,carrier-coupled,27,11,0.9220399605293594,0.8501576888129827,1.1147277523088908,1.2089798707519206,0.05746277804580466,0.0014122770893388872,True
ccfs-s2-a-london,carrier-coupled,28,11,0.9327527658025914,0.8700277221123839,1.0400858896786689,1.115071354180035,0.059075264783415724,0.0015447888128598162,True
ccfs-s2-a-london,carrier-coupled,29,11,0.9279451050850309,0.8610821180512691,1.0987522998440888,1.18407036561005,0.055347543184192875,0.0019871826648423297,True
ccfs-s2-a-london,doppler-locked,12,11,0.6684133877276832,0.4467764568935982,0.5740819210949909,0.8588725654443002,0.03425115718220566,0.06293081408546264,False
ccfs-s2-a-london,doppler-locked,13,11,0.6707053357864424,0.44984564745240446,0.6305224860254368,0.9400886684256227,0.0322127967737929,0.176429984913566,False
