pair_id,condition,bin_index,prn_count,median_quadrature_fraction,median_cn0_db_hz
ccfs-s3-a-sao-paulo,doppler-locked,14,11,0.041479180100801046,49.65251159667969
ccfs-s3-a-sao-paulo,doppler-locked,15,11,0.04000765421392698,49.23085975646973
ccfs-s3-a-sao-paulo,doppler-locked,16,11,0.04971607117299604,49.84222412109375
ccfs-s3-a-sao-paulo,doppler-locked,17,11,0.034856856561871916,50.22124099731445
ccfs-s3-a-sao-paulo,doppler-locked,18,11,0.0513745124968132,50.453887939453125
ccfs-s3-a-sao-paulo,doppler-locked,19,11,0.04525528759418684,49.32857894897461
ccfs-s3-a-sao-paulo,doppler-locked,20,11,0.056057597313956,49.850364685058594
ccfs-s3-a-sao-paulo,doppler-locked,21,11,0.043035501593604364,49.480552673339844
ccfs-s3-a-sao-paulo,doppler-locked,22,11,0.03830714762608378,49.327911376953125
ccfs-s3-a-sao-paulo,doppler-locked,23,11,0.0510692193637586,49.971317291259766
ccfs-s3-a-sao-paulo,doppler-locked,24,11,0.03364483587659782,50.41119384765625
ccfs-s3-a-sao-paulo,doppler-locked,25,11,0.043179798201377365,49.95096015930176
ccfs-s3-a-sao-paulo,doppler-locked,26,11,0.04019191494383177,50.4906120300293
ccfs-s3-a-sao-paulo,doppler-locked,27,11,0.03322980693322826,51.34193992614746
ccfs-s3-a-sao-paulo,doppler-locked,28,11,0.03622480137938148,49.761722564697266
ccfs-s3-a-sao-paulo,doppler-locked,29,11,0.044711561537148316,50.84751892089844
ccfs-s4-a-sydney,carrier-coupled,12,11,0.09783751127366468,48.35136032104492
ccfs-s4-a-sydney,carrier-coupled,13,11,0.13193427152953982,48.6141300201416
ccfs-s4-a-sydney,carrier-coupled,14,11,0.14910243904225207,47.63144111633301
ccfs-s4-a-sydney,carrier-coupled,15,11,0.11720677366766016,48.46344757080078
ccfs-s4-a-sydney,carrier-coupled,16,11,0.07441896197280021,47.5358829498291
ccfs-s4-a-sydney,carrier-coupled,17,11,0.08452027055814434,48.18172836303711
ccfs-s4-a-sydney,carrier-coupled,18,10,0.12669172226934025,49.154011726379395
ccfs-s4-a-sydney,carrier-coupled,19,10,0.1133277789129914,49.90603446960449
ccfs-s4-a-sydney,carrier-coupled,20,10,0.10995861012856453,50.290475845336914
ccfs-s4-a-sydney,carrier-coupled,21,10,0.15624621568401886,50.14786720275879
ccfs-s4-a-sydney,carrier-coupled,22,10,0.1707349233279819,46.78087329864502
ccfs-s4-a-sydney,carrier-coupled,23,10,0.20415352866783762,45.06180953979492
ccfs-s4-a-sydney,carrier-coupled,24,11,0.15557823767571288,45.12913131713867
ccfs-s4-a-sydney,carrier-coupled,25,11,0.18217173504295642,44.75635528564453
ccfs-s4-a-sydney,carrier-coupled,26,11,0.18898857560055782,43.57598114013672
ccfs-s4-a-sydney,carrier-coupled,27,11,0.2061906060463745,42.80711555480957
ccfs-s4-a-sydney,carrier-coupled,28,11,0.1334819077669275,44.701263427734375
ccfs-s4-a-sydney,carrier-coupled,29,11,0.20782534474219017,45.91937065124512
ccfs-s4-a-sydney,doppler-locked,12,11,0.04260442745593416,48.85860252380371
ccfs-s4-a-sydney,doppler-locked,13,11,0.05663603612977018,48.85269546508789
ccfs-s4-a-sydney,doppler-locked,14,11,0.05066820198451481,49.16191101074219
ccfs-s4-a-sydney,doppler-locked,15,11,0.03949912768313132,49.5609130859375
