pair_id,condition,bin_index,prn,sampled_epoch_count,median_quadrature_fraction,median_cn0_db_hz
ccfs-s1-a-tokyo,doppler-locked,29,G25,2,0.0847382184118205,48.193490982055664
ccfs-s1-a-tokyo,doppler-locked,12,G18,14,0.054250802030385285,47.369394302368164
ccfs-s1-a-tokyo,doppler-locked,13,G18,3,0.0832586026198168,46.143924713134766
ccfs-s1-a-tokyo,doppler-locked,14,G18,2,0.021527725642214935,47.43518829345703
ccfs-s1-a-tokyo,doppler-locked,15,G18,3,0.06004770395518442,48.074092864990234
ccfs-s1-a-tokyo,doppler-locked,16,G18,2,0.06773506688337469,48.35531234741211
ccfs-s1-a-tokyo,doppler-locked,17,G18,3,0.0568559409150713,47.735008239746094
ccfs-s1-a-tokyo,doppler-locked,18,G18,2,0.03890995304636284,46.474300384521484
ccfs-s1-a-tokyo,doppler-locked,19,G18,3,0.05513093774213188,47.92488479614258
ccfs-s1-a-tokyo,doppler-locked,20,G18,2,0.11309279681642935,48.12601089477539
ccfs-s1-a-tokyo,doppler-locked,21,G18,3,0.04778199034690878,48.82134246826172
ccfs-s1-a-tokyo,doppler-locked,22,G18,2,0.032698527501840866,48.07637596130371
ccfs-s1-a-tokyo,doppler-locked,23,G18,3,0.03889912534268846,49.182594299316406
ccfs-s1-a-tokyo,doppler-locked,24,G18,2,0.05929548528736364,49.053768157958984
ccfs-s1-a-tokyo,doppler-locked,25,G18,3,0.04635999240024684,47.96648025512695
ccfs-s1-a-tokyo,doppler-locked,26,G18,2,0.0239689907079551,48.73472213745117
ccfs-s1-a-tokyo,doppler-locked,27,G18,3,0.07900995288105031,47.721336364746094
ccfs-s1-a-tokyo,doppler-locked,28,G18,2,0.05895099192330725,47.68913650512695
ccfs-s1-a-tokyo,doppler-locked,29,G18,2,0.057892979350074036,48.17526054382324
ccfs-s1-a-tokyo,doppler-locked,12,G05,15,0.0732348096493139,45.84515380859375
ccfs-s1-a-tokyo,doppler-locked,13,G05,2,0.03830687259634968,44.95028305053711
