scenario,model,operating_point,diagnostic_only,seed,roc_auc,stable_pre_fpr,post_detection,converged,source_checkpoint,source_file,seed_count,roc_auc_mean,roc_auc_std,all_members_converged,nonconverged_excluded
DS2,mean_std::Complex EPL,q995,,mean/std,,,,,,,3,0.9612062655540917,0.01944429068894997,true,true
DS2,mean_std::Complex all9,q99,,mean/std,,,,,,,3,0.9544793422773789,0.005549604374314456,true,true
DS2,mean_std::Complex all9,q995,,mean/std,,,,,,,3,0.9544793422773789,0.005549604374314456,true,true
DS2,mean_std::Magnitude EPL,q99,,mean/std,,,,,,,3,0.9907419213169564,0.0004243576239463361,true,true
DS2,mean_std::Magnitude EPL,q995,,mean/std,,,,,,,3,0.9907419213169564,0.0004243576239463361,true,true
DS2,mean_std::Magnitude all9,q99,,mean/std,,,,,,,3,0.9936555834171541,0.0004932718123287954,true,true
DS2,mean_std::Magnitude all9,q995,,mean/std,,,,,,,3,0.9936555834171541,0.0004932718123287954,true,true
DS3,mean_std::Complex EPL,q99,,mean/std,,,,,,,3,0.9331857322053402,0.011529791420995082,true,true
DS3,mean_std::Complex EPL,q995,,mean/std,,,,,,,3,0.9331857322053402,0.011529791420995082,true,true
DS3,mean_std::Complex all9,q99,,mean/std,,,,,,,3,0.9282436880476096,0.005489959066341418,true,true
DS3,mean_std::Complex all9,q995,,mean/std,,,,,,,3,0.9282436880476096,0.005489959066341418,true,true
DS3,mean_std::Magnitude EPL,q99,,mean/std,,,,,,,3,0.9795716266304502,0.001149052403928473,true,true
DS3,mean_std::Magnitude EPL,q995,,mean/std,,,,,,,3,0.9795716266304502,0.001149052403928473,true,true
DS3,mean_std::Magnitude all9,q99,,mean/std,,,,,,,3,0.9744409548331117,0.0007255922338369555,true,true
DS3,mean_std::Magnitude all9,q995,,mean/std,,,,,,,3,0.9744409548331117,0.0007255922338369555,true,true
DS7,mean_std::Complex EPL,q99,,mean/std,,,,,,,3,0.9442226890756302,0.0028748056541866044,true,true
DS7,mean_std::Complex EPL,q995,,mean/std,,,,,,,3,0.9442226890756302,0.0028748056541866044,true,true
DS7,mean_std::Complex all9,q99,,mean/std,,,,,,,3,0.9360031512605042,0.0006823942468585523,true,true
DS7,mean_std::Complex all9,q995,,mean/std,,,,,,,3,0.9360031512605042,0.0006823942468585523,true,true
DS7,mean_std::Magnitude EPL,q99,,mean/std,,,,,,,3,0.9413515406162465,0.0023306228301159426,true,true
DS7,mean_std::Magnitude EPL,q995,,mean/std,,,,,,,3,0.9413515406162465,0.0023306228301159426,true,true
DS7,mean_std::Magnitude all9,q99,,mean/std,,,,,,,3,0.9254157913165266,0.0031348138893788763,true,true
DS7,mean_std::Magnitude all9,q995,,mean/std,,,,,,,3,0.9254157913165266,0.0031348138893788763,true,true
DS8,mean_std::Complex EPL,q99,,mean/std,,,,,,,3,0.9503756934528687,0.01054335127884838,true,true
DS8,mean_std::Complex EPL,q995,,mean/std,,,,,,,3,0.9503756934528687,0.01054335127884838,true,true
DS8,mean_std::Complex all9,q99,,mean/std,,,,,,,3,0.9788491998470699,0.0013357817955566564,true,true
DS8,mean_std::Complex all9,q995,,mean/std,,,,,,,3,0.9788491998470699,0.0013357817955566564,true,true
DS8,mean_std::Magnitude EPL,q99,,mean/std,,,,,,,3,0.9743919852063389,0.0019314094143090968,true,true
DS8,mean_std::Magnitude EPL,q995,,mean/std,,,,,,,3,0.9743919852063389,0.0019314094143090968,true,true
DS8,mean_std::Magnitude all9,q99,,mean/std,,,,,,,3,0.9719185724429047,0.0020106983550524185,true,true
DS8,mean_std::Magnitude all9,q995,,mean/std,,,,,,,3,0.9719185724429047,0.0020106983550524185,true,true
cleanStatic,mean_std::Complex EPL,q99,,mean/std,,,,,,,3,,,true,true
cleanStatic,mean_std::Complex EPL,q995,,mean/std,,,,,,,3,,,true,true
cleanStatic,mean_std::Complex all9,q99,,mean/std,,,,,,,3,,,true,true
cleanStatic,mean_std::Complex all9,q995,,mean/std,,,,,,,3,,,true,true
