window_mid_s,score_mean,score_prior_consensus_gate,score_soft_quorum_gate,prn_count,prior_high_fraction,soft_high_fraction
72.0,2.6522441743761105,2.893357281137575,5.063375241990757,11,0.09090909090909091,0.45454545454545453
72.5,2.8090574801442276,3.3197952038068146,4.8520083747945755,11,0.18181818181818182,0.36363636363636365
73.0,2.7063360330060195,2.952366581461112,4.674580420646761,11,0.09090909090909091,0.36363636363636365
73.5,2.5970938422008563,2.833193282400934,4.958088244201635,11,0.09090909090909091,0.45454545454545453
74.0,2.67949515338754,2.9230856218773162,5.115399838285304,11,0.09090909090909091,0.45454545454545453
74.5,2.7108585781159293,3.203741955955189,4.682392089472969,11,0.18181818181818182,0.36363636363636365
75.0,1.246345560185645,1.4956146722227739,2.243422008334161,10,0.2,0.4
75.5,1.0777693816699139,1.1855463198369054,1.7244310106718623,10,0.1,0.3
76.0,1.0583192157135781,1.0583192157135781,2.1166384314271562,10,0.0,0.5
76.5,1.0373706234766575,1.1411076858243234,1.6597929975626522,10,0.1,0.3
77.0,0.8956507544744353,0.8956507544744353,1.4330412071590966,10,0.0,0.3
77.5,1.1290577261737793,1.354869271408535,2.032303907112803,10,0.2,0.4
78.0,1.1718374935640783,1.2890212429204861,2.3436749871281566,10,0.1,0.5
78.5,1.0444400211810576,1.0444400211810576,1.8799920381259037,10,0.0,0.4
79.0,1.082710352301338,1.082710352301338,2.165420704602676,10,0.0,0.5
79.5,1.0980096080923356,1.0980096080923356,1.9764172945662042,10,0.0,0.4
80.0,1.0214031735443325,1.0214031735443325,1.8385257123797987,10,0.0,0.4
80.5,1.1991113970459317,1.319022536750525,2.3982227940918635,10,0.1,0.5
81.0,1.354033570651709,1.624840284782051,2.708067141303418,10,0.2,0.5
81.5,1.1526814902017133,1.2679496392218848,2.074826682363084,10,0.1,0.4
82.0,1.03194930934307,1.1351442402773773,1.8575087568175261,10,0.1,0.4
82.5,1.1509757846664326,1.2660733631330758,2.301951569332865,10,0.1,0.5
83.0,1.0654442612402055,1.0654442612402055,1.91779967023237,10,0.0,0.4
83.5,0.9340507424424682,0.9340507424424682,1.4944811879079491,10,0.0,0.3
84.0,1.0710962356978868,1.0710962356978868,2.1421924713957736,10,0.0,0.5
84.5,1.125149384776077,1.2376643232536848,1.8002390156417232,10,0.1,0.3
85.0,1.250715555917689,1.6259302226929957,2.501431111835378,10,0.3,0.5
85.5,1.0084804115969888,1.1093284527566878,1.613568658555182,10,0.1,0.3
86.0,0.9714280112376095,0.9714280112376095,1.1657136134851314,10,0.0,0.1
86.5,0.9383138719605769,0.9383138719605769,1.1259766463526923,10,0.0,0.1
87.0,1.1506427236032812,1.3807712683239375,2.0711569024859062,10,0.2,0.4
87.5,1.2092527148136578,1.3301779862950236,1.9348043437018525,10,0.1,0.3
88.0,0.9441244237844428,0.9441244237844428,1.1329493085413314,10,0.0,0.1
88.5,0.9716932147039978,1.0688625361743977,1.5547091435263967,10,0.1,0.3
89.0,0.9939008995958938,1.0932909895554832,1.59024143935343,10,0.1,0.3
89.5,1.021169159409256,1.1232860753501817,1.838104486936661,10,0.1,0.4
90.0,1.0852522495111538,1.3023026994133846,1.7364035992178461,10,0.2,0.3
90.5,1.1069438506412341,1.2176382357053577,1.7711101610259747,10,0.1,0.3
91.0,1.115165178050296,1.3381982136603552,2.007297320490533,10,0.2,0.4
91.5,0.9311855947164227,0.9311855947164227,1.4898969515462763,10,0.0,0.3
92.0,0.9029136078019556,0.9932049685821512,1.2640790509227378,10,0.1,0.2
92.5,1.1299414656143267,1.2429356121757595,1.807906344982923,10,0.1,0.3
93.0,1.0524854405945727,1.15773398465403,1.6839767049513163,10,0.1,0.3
93.5,1.054134409010397,1.159547849911437,1.8974419362187147,10,0.1,0.4
94.0,0.9942775984143581,1.093705358255794,1.590844157462973,10,0.1,0.3
94.5,1.1192299998512916,1.3430759998215498,2.238459999702583,10,0.2,0.5
95.0,1.2021608994682769,1.3223769894151047,2.1638896190428984,10,0.1,0.4
95.5,1.256521161787334,1.3821732779660676,2.513042323574668,10,0.1,0.5
96.0,1.3147763306675844,1.5777315968011012,2.6295526613351687,10,0.2,0.5
96.5,1.0481984778265936,1.153018325609253,1.467477868957231,10,0.1,0.2
97.0,1.2016855047717523,1.3218540552489275,2.163033908589154,10,0.1,0.4
97.5,1.2315030894103516,1.3546533983513869,1.9704049430565627,10,0.1,0.3
98.0,1.0517544325114587,1.0517544325114587,2.1035088650229175,10,0.0,0.5
98.5,1.2895798373891025,1.547495804866923,2.579159674778205,10,0.2,0.5
99.0,1.1805892518601975,1.4167071022322368,1.888942802976316,10,0.2,0.3
99.5,1.255697225163819,1.381266947680201,2.260255005294874,10,0.1,0.4
100.0,1.0290813813808088,1.1319895195188898,1.852346486485456,10,0.1,0.4
100.5,1.0459468042601847,1.1505414846862032,1.6735148868162957,10,0.1,0.3
101.0,1.2353283432160183,1.4823940118592218,1.9765253491456294,10,0.2,0.3
101.5,1.209281224965229,1.330209347461752,2.418562449930458,10,0.1,0.5
102.0,1.291669829103324,1.4208368120136565,2.325005692385983,10,0.1,0.4
102.5,1.4080025474265234,1.8304033116544804,2.2528040758824375,10,0.3,0.3
103.0,1.2937647246084452,1.6818941419909788,2.3287765042952016,10,0.3,0.4
103.5,1.0647502996030649,1.0647502996030649,2.1295005992061298,10,0.0,0.5
104.0,1.1907935910307645,1.309872950133841,2.1434284638553764,10,0.1,0.4
104.5,1.3039948976385882,1.564793877166306,2.347190815749459,10,0.2,0.4
105.0,1.049446617198973,1.1543912789188704,1.6791145875183568,10,0.1,0.3
105.5,1.0265725100996705,1.0265725100996705,2.053145020199341,10,0.0,0.5
106.0,1.1623094232137359,1.2785403655351095,2.557080731070219,10,0.1,0.6
106.5,1.2005293583266963,1.320582294159366,2.4010587166533925,10,0.1,0.5
107.0,1.0700836905027908,1.0700836905027908,1.9261506429050235,10,0.0,0.4
107.5,1.0461637487208848,1.0461637487208848,1.8830947476975928,10,0.0,0.4
108.0,0.9728307325535221,0.9728307325535221,1.7510953185963398,10,0.0,0.4
108.5,0.9671551717596397,0.9671551717596397,1.5474482748154237,10,0.0,0.3
109.0,1.1650191139433514,1.3980229367320216,2.0970344050980327,10,0.2,0.4
109.5,1.171189774944792,1.2883087524392711,1.873903639911667,10,0.1,0.3
110.0,1.0568949233617055,1.1625844156978762,1.691031877378729,10,0.1,0.3
110.5,1.3562343394429817,1.6274812073315779,2.98371554677456,10,0.2,0.6
111.0,1.1915154189866646,1.3106669608853312,2.1447277541759964,10,0.1,0.4
111.5,1.1335098772085153,1.1335098772085153,2.2670197544170305,10,0.0,0.5
112.0,1.217329702980475,1.3390626732785227,2.43465940596095,10,0.1,0.5
112.5,1.3508840662602632,1.6210608795123158,2.9719449457725795,10,0.2,0.6
113.0,1.3306883723969398,1.7298948841160218,2.6613767447938796,10,0.3,0.5
113.5,1.2189062447658845,1.4626874937190613,2.194031240578592,10,0.2,0.4
114.0,1.8443292949761343,2.5820610129665877,4.795256166937949,10,0.4,0.8
114.5,2.530204818006543,4.301348190611122,7.084573490418319,10,0.7,0.9
115.0,2.613428939785353,4.181486303656565,7.840286819356059,10,0.6,1.0
115.5,2.6889418651835646,4.302306984293703,8.066825595550693,10,0.6,1.0
116.0,2.650406608426615,4.240650573482585,7.951219825279845,10,0.6,1.0
116.5,2.6288530907387195,4.206164945181952,7.886559272216159,10,0.6,1.0
117.0,2.6500766856784277,4.240122697085485,7.950230057035283,10,0.6,1.0
117.5,2.691950369828786,4.576315628708937,7.5374610355206,10,0.7,0.9
118.0,2.5689264655918427,3.853389698387764,7.192994103657159,10,0.5,0.9
118.5,2.409775141135519,3.3736851975897264,6.265415366952349,10,0.4,0.8
119.0,2.463568689821518,3.4489961657501254,5.9125648555716435,10,0.4,0.7
119.5,2.4563946474656935,3.4389525064519706,7.369183942397081,10,0.4,1.0
120.0,2.645247173678769,3.967870760518154,7.406692086300553,10,0.5,0.9
120.5,2.6667988319458584,4.266878131113374,7.467036729448403,10,0.6,0.9
121.0,2.6207814795206144,4.455328515185045,7.862344438561843,10,0.7,1.0
121.5,2.4331246145210352,3.649686921781553,7.299373843563106,10,0.5,1.0
122.0,2.464899895710146,3.450859853994204,6.901719707988408,10,0.4,0.9
122.5,2.401904696281499,3.3626665747940985,7.2057140888444975,10,0.4,1.0
123.0,2.437298926299032,3.6559483894485476,6.824436993637289,10,0.5,0.9
123.5,2.4737680149820624,3.7106520224730937,6.926550441949774,10,0.5,0.9
124.0,2.342789157450115,3.279904820430161,6.091251809370299,10,0.4,0.8
124.5,2.3686307818991517,3.5529461728487277,6.6321661893176245,10,0.5,0.9
125.0,2.487299522099751,3.7309492831496267,7.461898566299253,10,0.5,1.0
125.5,2.633383511329479,4.213413618127166,7.9001505339884375,10,0.6,1.0
126.0,2.5702729720362814,4.1124367552580505,7.710818916108844,10,0.6,1.0
126.5,2.3802182256452062,3.570327338467809,7.140654676935618,10,0.5,1.0
127.0,2.467252173836501,3.7008782607547515,7.401756521509503,10,0.5,1.0
127.5,2.4781197655806517,3.5795063280609414,7.434359296741955,9,0.4444444444444444,1.0
