feature,pre_absz_median,post_absz_median,delta_post_minus_pre,post_absz_q95,pre_absz_q95
tap_P_mean,1.3915426794691754,1.2150297555568106,-0.17651292391236484,1.7254231017401362,1.8048335808030451
tap_L4_mean,1.5252207755840745,1.3392494593573556,-0.18597131622671892,1.9013135155939334,1.9757837851639732
tap_E3_mean,1.470394112294762,1.277845008070244,-0.192549104224518,1.8381490580154234,1.913865422590572
tap_L3_mean,1.471538270969396,1.2743327411147234,-0.19720552985467266,1.8315126762180673,1.9093591782648376
tap_L2_mean,1.4309715863528776,1.2270690527043882,-0.20390253364848943,1.7809855006559565,1.8577306230324189
tap_L_mean,1.4090977789499708,1.1995108603283773,-0.2095869186215935,1.7499061189637812,1.829899803812045
tap_E_mean,1.4051676017404056,1.1932110997054985,-0.211956502034907,1.7368720497120649,1.824895575265265
tap_E2_mean,1.4296724763129933,1.204237048835747,-0.22543542747724632,1.7772739315344015,1.8598905995684303
tap_L4_std,5.0219860530344835,4.447729420707471,-0.5742566323270122,5.2474807036311875,5.5772972057824495
tap_E4_std,4.936536981388058,4.321691920743968,-0.6148450606440905,5.107677760580337,5.472732544492463
tap_L3_std,5.028963371736918,4.40123790566476,-0.6277254660721576,5.256963231751482,5.607162540141745
tap_L2_std,4.986968873021796,4.355777723447952,-0.6311911495738443,5.2390930436169665,5.584865443637725
tap_P_std,5.001280576155657,4.333981824883771,-0.6672987512718862,5.192214637961394,5.558880780683352
tap_E3_std,4.9743890630889736,4.302111761947859,-0.672277301141115,5.1494726168626395,5.521220819126182
tap_L_std,4.959251037897414,4.278804087068271,-0.6804469508291433,5.199758213490961,5.515617501505375
tap_E_std,4.929682173186347,4.248213711936482,-0.6814684612498647,5.155562310832057,5.4932465494576155
tap_E2_std,4.9402212857104875,4.233800298531719,-0.7064209871787686,5.147060278697023,5.467672797838706
tap_P_rel_prompt_mean,2.1336468687774732,0.0,-2.1336468687774732,2.1336468687774732,2.1336468687774732
