group,agg,scenario,feature_count,rows,pfa10_q90_normal_flag_rate,pfa5_q95_normal_flag_rate,pfa1_q99_normal_flag_rate,pfa0_5_q995_normal_flag_rate,pfa0_1_q999_normal_flag_rate,pre_windows_t_lt_90,post_windows_t_ge_110,auc_pre_vs_post_buffered,pre_score_median,post_score_median,pre_score_q95,post_score_q95,pfa10_q90_pre_fp_rate,pfa10_q90_post_det_rate,pfa10_q90_first_delay_s,pfa5_q95_pre_fp_rate,pfa5_q95_post_det_rate,pfa5_q95_first_delay_s,pfa1_q99_pre_fp_rate,pfa1_q99_post_det_rate,pfa1_q99_first_delay_s,pfa0_5_q995_pre_fp_rate,pfa0_5_q995_post_det_rate,pfa0_5_q995_first_delay_s,pfa0_1_q999_pre_fp_rate,pfa0_1_q999_post_det_rate,pfa0_1_q999_first_delay_s
dmcpd_only,score_mean,ds2,25,913,,,,,,179.0,694.0,0.9998792523304301,1.3147980949443947,3.6869693059402815,2.738115449005687,4.938214018210044,0.15083798882681565,1.0,10.0,0.08379888268156424,0.9985590778097982,10.5,0.0223463687150838,0.9985590778097982,10.5,0.0,0.9985590778097982,10.5,0.0,0.9985590778097982,10.5
dmcpd_only,score_mean,ds4,25,255,,,,,,179.0,36.0,0.8876474239602731,1.1822543590303736,2.2688609463124925,1.858608180878757,2.4348631055495082,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
dmcpd_only,score_top3,cleanStatic,25,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0010427528675703858,,,,,,,,,,,,,,,,,,,,,,
dmcpd_only,score_top3,ds1,25,922,,,,,,179.0,703.0,0.826696440633518,2.278051154470263,5.6058617718402886,7.109138535716657,9.824581508041774,0.05027932960893855,0.29445234708392604,17.0,0.0111731843575419,0.28733997155049784,17.0,0.0,0.27880512091038406,20.5,0.0,0.2773826458036984,25.5,0.0,0.2773826458036984,25.5
dmcpd_only,score_top3,ds2,25,913,,,,,,179.0,694.0,0.760806916426513,2.7391252286491166,4.573725101310675,7.47777232958379,8.669497358357571,0.1452513966480447,0.17435158501440923,28.5,0.1005586592178771,0.17435158501440923,28.5,0.0223463687150838,0.1685878962536023,76.5,0.0,0.16570605187319884,76.5,0.0,0.15994236311239193,76.5
dmcpd_only,score_top3,ds4,25,255,,,,,,179.0,36.0,0.8258845437616388,2.197514158427987,3.6019537956595364,4.773433007864316,3.841615956114137,0.01675977653631285,0.0,,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,
dmcpd_only,score_top5,cleanStatic,25,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0010427528675703858,,,,,,,,,,,,,,,,,,,,,,
dmcpd_only,score_top5,ds1,25,922,,,,,,179.0,703.0,0.9185136327153381,1.8239890437859902,4.923563066019727,4.8285750090423285,7.574520774038276,0.03910614525139665,0.5689900426742532,17.0,0.00558659217877095,0.4352773826458037,17.5,0.0,0.3229018492176387,20.0,0.0,0.31436699857752487,20.5,0.0,0.29871977240398295,25.5
dmcpd_only,score_top5,ds2,25,913,,,,,,179.0,694.0,0.829681387149228,2.0719542999177127,4.223726682518479,5.166329345991734,6.751890876074771,0.1564245810055866,0.2478386167146974,10.5,0.1005586592178771,0.22622478386167147,15.0,0.027932960893854747,0.20893371757925072,15.0,0.0111731843575419,0.20461095100864554,15.0,0.0,0.1930835734870317,15.5
dmcpd_only,score_top5,ds4,25,255,,,,,,179.0,36.0,0.8547486033519553,1.762896226008414,3.1227825580270343,3.370000335394771,3.3437963137840265,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
