evaluation,fold,experiment,training_view,view,model,train_count,test_count,train_block_count,test_block_count,scaler_fit_sample_count,threshold,auroc,auprc,balanced_accuracy,tpr_at_5pct_fpr,tn,fp,fn,tp
sensitivity_a,1,destruction_retrained,circular_shift,circular_shift,M3,140,184,23,4,140,0.5,0.553757088846881,0.5285051993345364,0.5380434782608696,0.021739130434782608,54,38,47,45
sensitivity_a,1,destruction_cross_apply,actual,circular_shift,M3,140,184,23,4,140,0.5,0.560609640831758,0.5328785152658883,0.5,0.0,0,92,0,92
sensitivity_a,1,destruction_retrained,fourier_phase_randomized,fourier_phase_randomized,M2,140,184,23,4,140,0.5,0.6101134215500945,0.6004360218709495,0.5815217391304348,0.07608695652173914,54,38,39,53
sensitivity_a,1,destruction_cross_apply,actual,fourier_phase_randomized,M2,140,184,23,4,140,0.5,0.5,0.5,0.5,0.0,0,92,0,92
sensitivity_a,1,destruction_retrained,fourier_phase_randomized,fourier_phase_randomized,M3,140,184,23,4,140,0.5,0.622164461247637,0.6119711995509908,0.5923913043478262,0.13043478260869565,54,38,37,55
sensitivity_a,1,destruction_cross_apply,actual,fourier_phase_randomized,M3,140,184,23,4,140,0.5,0.5054347826086957,0.5027322404371585,0.5,0.0,0,92,0,92
sensitivity_a,1,stress_cross_apply,actual,channel_permutation,M2,140,184,23,4,140,0.5,0.9084357277882797,0.9203324973942323,0.532608695652174,0.6956521739130435,92,0,86,6
sensitivity_a,1,stress_cross_apply,actual,channel_permutation,M3,140,184,23,4,140,0.5,0.9995274102079396,0.9995471014492754,0.5,1.0,92,0,92,0
sensitivity_a,1,stress_cross_apply,actual,one_channel_ablation,M2,140,184,23,4,140,0.5,0.4181238185255199,0.4364656598222313,0.5,0.021739130434782608,92,0,92,0
sensitivity_a,1,stress_cross_apply,actual,one_channel_ablation,M3,140,184,23,4,140,0.5,0.42119565217391297,0.43972628381666723,0.5,0.021739130434782608,92,0,92,0
