path,receiver,area,band,reconstructed_object,oid_sha256,logical_size_bytes,payload_present
dataset/Sample_Area1_0525000_0549999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0525000_0549999.h5,58089758d8398a54cfd262cfef3199b9a894e1eba2e407908cce2b926731cfe7,1992294400,false
dataset/Sample_Area1_0525000_0549999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0525000_0549999.h5,c3ec6658da061c57ee9bef474c785b02f97b6f1bb109985998e688013fdfbd18,1119384068,false
dataset/Sample_Area1_0550000_0574999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0550000_0574999.h5,f5b5527eb7609e1025253c89e0b7f8ffa45f06ea06c8f89c0332055d5df43f31,1992294400,false
dataset/Sample_Area1_0550000_0574999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0550000_0574999.h5,f285ba2a95d3edb827c88ba1b0b28ff7157ac612b8c42a6e405c5f1760acf91a,1992294400,false
dataset/Sample_Area1_0550000_0574999.h5.part-ac,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0550000_0574999.h5,e55d1c02cce4f6cf2d93d83143e73196113eadfbc0fc7b178bb4a3d75c3d04b5,672130404,false
dataset/Sample_Area1_0575000_0599999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0575000_0599999.h5,bc22ef20a604a0a4e95d6499c61417827155df32287c486a230250a3b63f75a2,1992294400,false
dataset/Sample_Area1_0575000_0599999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0575000_0599999.h5,bd55c8b463c09c21f7b143397ef3a1f83ad897a0c92e2b94f522b001a0a7a806,1992294400,false
dataset/Sample_Area1_0575000_0599999.h5.part-ac,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0575000_0599999.h5,f10e7c737d0cf8af703ffc099e1c86fa0730c8263a5bef634c153c4f82d6dc77,819553010,false
dataset/Sample_Area1_0600000_0624999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0600000_0624999.h5,b08438be432d4d986333a5acecaa69c083a0373e7bbf9112162858233929a150,1992294400,false
dataset/Sample_Area1_0600000_0624999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0600000_0624999.h5,0265838a535e63f371fd22ac4a6b4bdc05049e481be23f5e58a4948116b7f609,1992294400,false
