scenario,score_col,threshold,th,pre_windows,post_windows,pre_fp_rate,post_det_rate,post_flags,first_delay_s
ds1,ai_rmse_q65_binom_btail70_lam0.25,q99_5,0.3319766671761596,168,702,0.0,0.8774928774928775,616,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.25,q99_9,0.4252556198011309,168,702,0.0,0.01282051282051282,9,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.5,q90,0.2368727198275828,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.5,q95,0.258911974403003,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.5,q99,0.3276359791658849,168,702,0.0,0.9558404558404558,671,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.5,q99_5,0.36764693425068734,168,702,0.0,0.886039886039886,622,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.5,q99_9,0.45941288949682624,168,702,0.0,0.01282051282051282,9,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.75,q90,0.2712119071850838,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.75,q95,0.2927749271852228,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.75,q99,0.3619033099895475,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.75,q99_5,0.4033172013252151,168,702,0.0,0.8974358974358975,630,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.75,q99_9,0.49357015919252156,168,702,0.0,0.014245014245014245,10,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam1,q90,0.3051049895612785,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam1,q95,0.32656799269282727,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam1,q99,0.3949853720987446,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam1,q99_5,0.43898746839974284,168,702,0.0,0.9045584045584045,635,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam1,q99_9,0.5277274288882169,168,702,0.0,0.014245014245014245,10,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam1.5,q90,0.3727193485319487,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam1.5,q95,0.395705575985988,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam1.5,q99,0.46229565421760127,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam1.5,q99_5,0.5064245689818673,168,702,0.0,0.9344729344729344,656,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam1.5,q99_9,0.5960419682796075,168,702,0.0,0.019943019943019943,14,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam2,q90,0.44022486534780136,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam2,q95,0.4645444447209008,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam2,q99,0.5313662306162265,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam2,q99_5,0.5765444289436081,168,702,0.0,0.9444444444444444,663,25.040794759999997
