window_mid_s,score_mean,score_consensus_gate,prn_count,prn_high_count,prn_high_fraction
95.0,1.2021608994682769,1.3223769894151047,10,1,0.1
95.5,1.256521161787334,1.3821732779660676,10,1,0.1
96.0,1.3147763306675844,1.5777315968011012,10,2,0.2
96.5,1.0481984778265936,1.153018325609253,10,1,0.1
97.0,1.2016855047717523,1.3218540552489275,10,1,0.1
97.5,1.2315030894103516,1.3546533983513869,10,1,0.1
98.0,1.0517544325114587,1.0517544325114587,10,0,0.0
98.5,1.2895798373891025,1.547495804866923,10,2,0.2
99.0,1.1805892518601975,1.4167071022322368,10,2,0.2
99.5,1.255697225163819,1.381266947680201,10,1,0.1
100.0,1.0290813813808088,1.1319895195188898,10,1,0.1
100.5,1.0459468042601847,1.1505414846862032,10,1,0.1
101.0,1.2353283432160183,1.4823940118592218,10,2,0.2
101.5,1.209281224965229,1.330209347461752,10,1,0.1
102.0,1.291669829103324,1.4208368120136565,10,1,0.1
102.5,1.4080025474265234,1.8304033116544804,10,3,0.3
103.0,1.2937647246084452,1.6818941419909788,10,3,0.3
103.5,1.0647502996030649,1.0647502996030649,10,0,0.0
104.0,1.1907935910307645,1.309872950133841,10,1,0.1
104.5,1.3039948976385882,1.564793877166306,10,2,0.2
105.0,1.049446617198973,1.1543912789188704,10,1,0.1
105.5,1.0265725100996705,1.0265725100996705,10,0,0.0
106.0,1.1623094232137359,1.2785403655351095,10,1,0.1
106.5,1.2005293583266963,1.320582294159366,10,1,0.1
107.0,1.0700836905027908,1.0700836905027908,10,0,0.0
107.5,1.0461637487208848,1.0461637487208848,10,0,0.0
108.0,0.9728307325535221,0.9728307325535221,10,0,0.0
108.5,0.9671551717596397,0.9671551717596397,10,0,0.0
109.0,1.1650191139433514,1.3980229367320216,10,2,0.2
109.5,1.171189774944792,1.2883087524392711,10,1,0.1
110.0,1.0568949233617055,1.1625844156978762,10,1,0.1
110.5,1.3562343394429817,1.6274812073315779,10,2,0.2
111.0,1.1915154189866646,1.3106669608853312,10,1,0.1
111.5,1.1335098772085153,1.1335098772085153,10,0,0.0
112.0,1.217329702980475,1.3390626732785227,10,1,0.1
112.5,1.3508840662602632,1.6210608795123158,10,2,0.2
113.0,1.3306883723969398,1.7298948841160218,10,3,0.3
113.5,1.2189062447658845,1.4626874937190613,10,2,0.2
114.0,1.8443292949761343,2.5820610129665877,10,4,0.4
114.5,2.530204818006543,4.301348190611122,10,7,0.7
115.0,2.613428939785353,4.181486303656565,10,6,0.6
115.5,2.6889418651835646,4.302306984293703,10,6,0.6
116.0,2.650406608426615,4.240650573482585,10,6,0.6
116.5,2.6288530907387195,4.206164945181952,10,6,0.6
117.0,2.6500766856784277,4.240122697085485,10,6,0.6
117.5,2.691950369828786,4.576315628708937,10,7,0.7
118.0,2.5689264655918427,3.853389698387764,10,5,0.5
118.5,2.409775141135519,3.3736851975897264,10,4,0.4
119.0,2.463568689821518,3.4489961657501254,10,4,0.4
119.5,2.4563946474656935,3.4389525064519706,10,4,0.4
120.0,2.645247173678769,3.967870760518154,10,5,0.5
120.5,2.6667988319458584,4.266878131113374,10,6,0.6
121.0,2.6207814795206144,4.455328515185045,10,7,0.7
121.5,2.4331246145210352,3.649686921781553,10,5,0.5
122.0,2.464899895710146,3.450859853994204,10,4,0.4
122.5,2.401904696281499,3.3626665747940985,10,4,0.4
123.0,2.437298926299032,3.6559483894485476,10,5,0.5
123.5,2.4737680149820624,3.7106520224730937,10,5,0.5
124.0,2.342789157450115,3.279904820430161,10,4,0.4
124.5,2.3686307818991517,3.5529461728487277,10,5,0.5
125.0,2.487299522099751,3.7309492831496267,10,5,0.5
125.5,2.633383511329479,4.213413618127166,10,6,0.6
126.0,2.5702729720362814,4.1124367552580505,10,6,0.6
126.5,2.3802182256452062,3.570327338467809,10,5,0.5
127.0,2.467252173836501,3.7008782607547515,10,5,0.5
127.5,2.4781197655806517,3.5795063280609414,9,4,0.4444444444444444
