scenario,threshold,comparison,held_out_clean_fpr,stable_pre_fpr,roc_auc,pr_auc,post_detection,persistent_detection,first_sustained_3_delay_s,q99,q995,count,alarms,exact_binomial_ci_low,exact_binomial_ci_high,held_out_clean_exact_binomial_ci_low,held_out_clean_exact_binomial_ci_high,held_out_clean_count,stable_pre_exact_binomial_ci_low,stable_pre_exact_binomial_ci_high,stable_pre_count,post_exact_binomial_ci_low,post_exact_binomial_ci_high,post_count,persistent_exact_binomial_ci_low,persistent_exact_binomial_ci_high,persistent_count,model,operating_point,calibration_q99,calibration_q995,calibration_count,model_seed,policy_seed,delta_roc_auc_vs_primary,delta_post_detection_vs_primary,matched_target_fpr,common_timestamp_count
DS8,0.733831892489849,strict_greater,,1.0,0.5361458333333333,0.9129923856254402,1.0,1.0,0.0,1.2303235603189355,1.2307472958903167,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,seed::complex all9 temporal-shuffled::model303::policyNone,q99,0.733831892489849,0.736871344214922,125,303,None,,,,
DS8,0.736871344214922,strict_greater,,1.0,0.5361458333333333,0.9129923856254402,1.0,1.0,0.0,1.2303235603189355,1.2307472958903167,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,seed::complex all9 temporal-shuffled::model303::policyNone,q995,0.733831892489849,0.736871344214922,125,303,None,,,,
cleanStatic,0.13409811135743654,strict_greater,0.0,,,,,,,0.0887172418727572,0.12076301876876422,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,seed::complex all9::model101::policyNone,q99,0.13409811135743654,0.13600487201729766,125,101,None,,,,
cleanStatic,0.13600487201729766,strict_greater,0.0,,,,,,,0.0887172418727572,0.12076301876876422,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,seed::complex all9::model101::policyNone,q995,0.13409811135743654,0.13600487201729766,125,101,None,,,,
DS1,0.13409811135743654,strict_greater,,0.62,0.9765836791147995,0.9969442878137508,0.9847856154910097,1.0,0.0,0.33175106997863324,0.33175106997863324,723,712,0.9729406352150275,0.9923812074750656,,,0,0.5174606942491935,0.7152325238585204,100,0.9729406352150275,0.9923812074750656,723,0.9942794430126666,1.0,643,seed::complex all9::model101::policyNone,q99,0.13409811135743654,0.13600487201729766,125,101,None,,,,
DS1,0.13600487201729766,strict_greater,,0.59,0.9765836791147995,0.9969442878137508,0.9820193637621023,1.0,0.0,0.33175106997863324,0.33175106997863324,723,710,0.9694488242580253,0.990392208052127,,,0,0.48714420376677076,0.6873800234324292,100,0.9694488242580253,0.990392208052127,723,0.9942794430126666,1.0,643,seed::complex all9::model101::policyNone,q995,0.13409811135743654,0.13600487201729766,125,101,None,,,,
DS2,0.13409811135743654,strict_greater,,0.59,0.530672268907563,0.9051357556200536,0.5854341736694678,0.5457413249211357,0.0,0.2622929373287963,0.2622929373287963,714,418,0.5483069619969996,0.6218525634099705,,,0,0.48714420376677076,0.6873800234324292,100,0.5483069619969996,0.6218525634099705,714,0.5060590850585982,0.5849957619797558,634,seed::complex all9::model101::policyNone,q99,0.13409811135743654,0.13600487201729766,125,101,None,,,,
DS2,0.13600487201729766,strict_greater,,0.56,0.530672268907563,0.9051357556200536,0.5770308123249299,0.5362776025236593,0.0,0.2622929373287963,0.2622929373287963,714,412,0.5398373477815421,0.6135852189268218,,,0,0.4571874970633177,0.6591639762765417,100,0.5398373477815421,0.6135852189268218,714,0.4965792377443311,0.5756366890028275,634,seed::complex all9::model101::policyNone,q995,0.13409811135743654,0.13600487201729766,125,101,None,,,,
DS3,0.13409811135743654,strict_greater,,0.61,0.44385474860335195,0.9025338866279368,0.4371508379888268,0.37264150943396224,0.0,0.24249670510246674,0.24249670510246674,716,313,0.40044293123137115,0.47437862738103515,,,0,0.5073144796323634,0.7059895851465829,100,0.40044293123137115,0.47437862738103515,716,0.33494473811349573,0.4115265396604191,636,seed::complex all9::model101::policyNone,q99,0.13409811135743654,0.13600487201729766,125,101,None,,,,
DS3,0.13600487201729766,strict_greater,,0.58,0.44385474860335195,0.9025338866279368,0.43435754189944137,0.3694968553459119,0.0,0.24249670510246674,0.24249670510246674,716,311,0.39768760925604435,0.47157047269768876,,,0,0.4771191957239138,0.6780144606452031,100,0.39768760925604435,0.47157047269768876,716,0.3318797467278523,0.408331618286023,636,seed::complex all9::model101::policyNone,q995,0.13409811135743654,0.13600487201729766,125,101,None,,,,
DS7,0.13409811135743654,strict_greater,,1.0,0.14896157840083074,0.5808728711686825,1.0,1.0,0.0,2.074928259679412,2.0776688377016477,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,seed::complex all9::model101::policyNone,q99,0.13409811135743654,0.13600487201729766,125,101,None,,,,
DS7,0.13600487201729766,strict_greater,,1.0,0.14896157840083074,0.5808728711686825,1.0,1.0,0.0,2.074928259679412,2.0776688377016477,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,seed::complex all9::model101::policyNone,q995,0.13409811135743654,0.13600487201729766,125,101,None,,,,
DS8,0.13409811135743654,strict_greater,,1.0,0.09886574074074074,0.7263169843651702,1.0,1.0,0.0,2.0745483942711225,2.0805853726248635,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,seed::complex all9::model101::policyNone,q99,0.13409811135743654,0.13600487201729766,125,101,None,,,,
DS8,0.13600487201729766,strict_greater,,1.0,0.09886574074074074,0.7263169843651702,1.0,1.0,0.0,2.0745483942711225,2.0805853726248635,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,seed::complex all9::model101::policyNone,q995,0.13409811135743654,0.13600487201729766,125,101,None,,,,
cleanStatic,1.149622880102413,strict_greater,0.0,,,,,,,1.1464891868919702,1.1471488014632585,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,seed::complex all9::model202::policyNone,q99,1.149622880102413,1.1496953412856248,125,202,None,,,,
cleanStatic,1.1496953412856248,strict_greater,0.0,,,,,,,1.1464891868919702,1.1471488014632585,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,seed::complex all9::model202::policyNone,q995,1.149622880102413,1.1496953412856248,125,202,None,,,,
DS1,1.149622880102413,strict_greater,,0.65,0.9612586445366529,0.9949817595842773,0.9695712309820194,1.0,0.0,1.1577260202163568,1.1577260202163568,723,701,0.9542914807570719,0.9808342444861822,,,0,0.5481506381760306,0.7427062214685488,100,0.9542914807570719,0.9808342444861822,723,0.9942794430126666,1.0,643,seed::complex all9::model202::policyNone,q99,1.149622880102413,1.1496953412856248,125,202,None,,,,
DS1,1.1496953412856248,strict_greater,,0.65,0.9612586445366529,0.9949817595842773,0.966804979253112,1.0,0.0,1.1577260202163568,1.1577260202163568,723,699,0.9510094260128745,0.978617815942695,,,0,0.5481506381760306,0.7427062214685488,100,0.9510094260128745,0.978617815942695,723,0.9942794430126666,1.0,643,seed::complex all9::model202::policyNone,q995,1.149622880102413,1.1496953412856248,125,202,None,,,,
DS2,1.149622880102413,strict_greater,,0.74,0.07448179271708684,0.7272088770640919,0.06582633053221289,0.033123028391167195,0.0,1.1586960052094784,1.1586960052094784,714,47,0.04876407839110207,0.08657650709319707,,,0,0.6426879368998963,0.8226055621323475,100,0.04876407839110207,0.08657650709319707,714,0.02061829711295641,0.05018791481760153,634,seed::complex all9::model202::policyNone,q99,1.149622880102413,1.1496953412856248,125,202,None,,,,
