scenario,model,model_seed,policy_seed,ordered_path,count,fraction
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-6-2,29,0.0032790592492085028
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-6-8,31,0.0035052012663952963
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-8-1,22,0.0024875621890547263
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-8-2,15,0.0016960651289009499
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-8-6,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-1-2,12,0.0013568521031207597
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-1-6,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-1-7,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-2-1,29,0.0032790592492085028
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-2-6,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-2-7,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-6-1,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-6-2,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-6-7,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-7-1,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-7-2,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-0-8-7-6,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-2-6,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-2-7,34,0.003844414292175486
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-2-8,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-6-2,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-6-7,32,0.003618272274988693
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-6-8,30,0.0033921302578018998
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-7-2,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-7-6,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-7-8,31,0.0035052012663952963
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-8-2,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-8-6,30,0.0033921302578018998
cleanStatic,complex random K7 policy11,101,11,3-5-1-0-8-7,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-0-6,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-0-7,30,0.0033921302578018998
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-0-8,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-6-0,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-6-7,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-6-8,17,0.001922207146087743
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-7-0,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-7-6,22,0.0024875621890547263
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-7-8,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-8-0,30,0.0033921302578018998
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-8-6,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-1-2-8-7,20,0.002261420171867933
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-0-2,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-0-7,31,0.0035052012663952963
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-0-8,14,0.001582994120307553
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-2-0,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-2-7,22,0.0024875621890547263
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-2-8,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-7-0,32,0.003618272274988693
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-7-2,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-7-8,29,0.0032790592492085028
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-8-0,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-8-2,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-1-6-8-7,22,0.0024875621890547263
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-0-2,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-0-6,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-0-8,37,0.004183627317955676
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-2-0,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-2-6,20,0.002261420171867933
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-2-8,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-6-0,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-6-2,18,0.0020352781546811396
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-6-8,34,0.003844414292175486
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-8-0,30,0.0033921302578018998
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-8-2,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-1-7-8-6,18,0.0020352781546811396
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-0-2,29,0.0032790592492085028
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-0-6,35,0.003957485300768883
cleanStatic,complex random K7 policy11,101,11,3-5-1-8-0-7,34,0.003844414292175486
