window_mid_s,score_mean,score_max,prn_count,score_roll5_median,score_roll5_mean
41.5,1.4096406547579996,2.868088007145429,10,1.2230485480514888,1.2364333587581053
42.0,1.2610519739822865,2.737678523153236,10,1.2610519739822865,1.2688303201678068
42.5,1.12430294807749,1.8151604077727344,10,1.2610519739822865,1.258887213010827
43.0,1.0884608773678202,1.6639898179245811,10,1.2610519739822865,1.2319696788740933
43.5,1.0458194415000872,1.7481107443217414,10,1.12430294807749,1.1858551791371368
44.0,1.10685178004058,1.6954017629625604,10,1.10685178004058,1.1252974041936528
44.5,1.0024412357456638,1.7524647350978853,10,1.0884608773678202,1.0735752565463283
45.0,1.0166610008949266,1.9137435228158723,10,1.0458194415000872,1.0520468671098153
45.5,1.1240412961898218,2.580296481453877,10,1.0458194415000872,1.059162950874216
46.0,1.2648318584758003,3.4404803012012697,10,1.10685178004058,1.1029654342693584
46.5,1.1519552633534638,2.423661631437969,10,1.1240412961898218,1.1119861309319352
47.0,1.1075514601795768,1.8739025781036944,10,1.1240412961898218,1.1330081758187178
47.5,1.0879224237335088,2.1799482934577195,10,1.1240412961898218,1.1472604603864343
48.0,1.2271042053428958,2.0522625979139146,10,1.1519552633534638,1.1678730422170491
48.5,1.2959677798611264,2.6443220281486695,10,1.1519552633534638,1.1741002264941143
49.0,1.0149828754894223,1.7356908629565497,10,1.1075514601795768,1.146705748921306
49.5,1.0031943348883454,1.5944934867945006,10,1.0879224237335088,1.1258343238630597
50.0,1.1618702721272538,2.160701937531405,10,1.1618702721272538,1.1406238935418087
50.5,1.2373542235358308,2.328716999989046,10,1.1618702721272538,1.1426738971803958
51.0,1.1233746958905058,2.3311263427685027,10,1.1233746958905058,1.1081552803862718
51.5,1.298159504199689,2.1763345425475897,10,1.1618702721272538,1.1647906061283249
52.0,1.0681696328780073,2.1092432188312453,10,1.1618702721272538,1.177785665726257
52.5,1.0357825777987846,1.6834147924649985,10,1.1233746958905058,1.1525681268605634
53.0,1.1204591577795608,2.461287622916641,10,1.1204591577795608,1.1291891137093095
53.5,1.1395691161497161,1.922832839769596,10,1.1204591577795608,1.1324279977611513
54.0,1.276444487056656,2.292122806311439,10,1.1204591577795608,1.128084994332545
54.5,1.38941564420326,2.480541828216795,10,1.1395691161497161,1.1923341965975955
55.0,1.2696448471015085,2.583502498778542,10,1.2696448471015085,1.2391066504581403
55.5,1.2516430407766934,2.134094557914282,11,1.2696448471015085,1.265343427057567
56.0,1.2741273751240938,1.9198038711529526,11,1.2741273751240938,1.2922550788524423
56.5,1.3153206395965567,2.006671165301406,11,1.2741273751240938,1.3000303093604226
57.0,1.2361577364986167,1.8837139042496178,11,1.2696448471015085,1.2693787278194937
57.5,1.1676687181325607,1.8327682591249013,11,1.2516430407766934,1.2489835020257043
58.0,1.3190468776103013,2.4070493507863016,11,1.2741273751240938,1.2624642693924257
58.5,1.347284938842716,2.200579499312165,11,1.3153206395965567,1.2770957821361502
59.0,1.327800858453329,2.2510985178501333,11,1.3190468776103013,1.2795918259075045
59.5,1.2766211420511981,1.9301486929948666,11,1.3190468776103013,1.287684507018021
60.0,1.2921659841013773,2.019580140620161,11,1.3190468776103013,1.3125839602117844
60.5,1.3361686028361686,2.6472370243471364,11,1.327800858453329,1.3160083052569578
61.0,1.201346144988202,1.9792977150458364,11,1.2921659841013773,1.286820546486055
61.5,1.1752526498189046,1.8781685077738748,11,1.2766211420511981,1.2563109047591703
62.0,1.188717674794617,2.0976439918481993,11,1.201346144988202,1.238730211307854
62.5,1.242725044948816,2.1795462982725082,11,1.201346144988202,1.2288420234773416
63.0,1.2669128157381382,2.8207240233833213,11,1.201346144988202,1.2149908660577355
63.5,1.1582563242674617,1.9952365523286397,11,1.188717674794617,1.2063729019135876
64.0,1.1981772081462365,2.036060021930065,11,1.1981772081462365,1.210957813579054
64.5,1.1366981290078302,2.2501485080682984,11,1.1981772081462365,1.2005539044216964
65.0,1.0910264523413185,2.3709836091127907,11,1.1582563242674617,1.170214185900197
65.5,1.18762460785491,2.6903162797869435,11,1.1582563242674617,1.1543565443235513
66.0,1.1373376897630882,2.9993726701786594,11,1.1373376897630882,1.1501728174226766
66.5,1.2245937821239368,2.905249376218731,11,1.1373376897630882,1.1554561322182166
67.0,1.3378618966220328,3.848244603649391,11,1.18762460785491,1.1956888857410573
67.5,1.2970315293548687,3.455250535734571,11,1.2245937821239368,1.2368899011437673
68.0,1.5025065903205428,4.53416580373164,11,1.2970315293548687,1.299866297636894
68.5,1.4260319090706182,3.2740769736301223,11,1.3378618966220328,1.3576051414983998
69.0,1.4137982367127313,3.7514032083787834,11,1.4137982367127313,1.3954460324161588
69.5,1.2863273651433744,4.850305325348402,11,1.4137982367127313,1.3851391261204271
70.0,1.7764884050484837,10.509799010211655,11,1.4260319090706182,1.48103050125915
70.5,2.163627336964063,12.681070874925842,11,1.4260319090706182,1.613254650587854
71.0,2.267030763129305,14.025961176596146,11,1.7764884050484837,1.7814544213995915
71.5,2.3383949264727293,15.879005904756914,11,2.163627336964063,1.966373759351591
72.0,2.6522441743761105,18.933681734246132,11,2.267030763129305,2.239557121198138
72.5,2.8090574801442276,19.695946869036455,11,2.3383949264727293,2.446070936217287
73.0,2.7063360330060195,19.50235619728299,11,2.6522441743761105,2.554612675425678
73.5,2.5970938422008563,17.462423971948063,11,2.6522441743761105,2.6206252912399886
74.0,2.67949515338754,18.58076638969654,11,2.67949515338754,2.688845336622951
74.5,2.7108585781159293,18.821839126177796,11,2.7063360330060195,2.7005682173709147
