dataset,window_ms,feature,seed,roc_auc,low_fpr_standardized_pauc_0_05,pr_auc,eer,balanced_accuracy,threshold,positive_pairs,negative_pairs
OAKBAT.cleanStatic,500,B1_power,2026081907,0.5070918367346938,0.5096807953950812,0.5223626231939195,0.5071428571428571,0.5107142857142857,-0.12157849805613742,140,140
OAKBAT.cleanStatic,500,B1_power,2026081908,0.503265306122449,0.5049712192569336,0.5072267620798889,0.4928571428571429,0.5,-0.12157849805613742,140,140
OAKBAT.cleanStatic,500,B1_power,2026081909,0.509515306122449,0.4971219256933543,0.50598193393713,0.4928571428571429,0.5142857142857142,-0.12157849805613742,140,140
OAKBAT.cleanStatic,500,B1_power,2026081910,0.5013775510204082,0.5125588697017268,0.5174766809837521,0.49642857142857144,0.5107142857142857,-0.12157849805613742,140,140
OAKBAT.cleanStatic,500,B2_doppler,2026081901,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007631389066931933,140,140
OAKBAT.cleanStatic,500,B2_doppler,2026081902,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007631389066931933,140,140
OAKBAT.cleanStatic,500,B2_doppler,2026081903,1.0,1.0,1.0,0.0,0.9678571428571429,-0.0007631389066931933,140,140
OAKBAT.cleanStatic,500,B2_doppler,2026081904,1.0,1.0,1.0,0.0,0.9678571428571429,-0.0007631389066931933,140,140
OAKBAT.cleanStatic,500,B2_doppler,2026081905,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007631389066931933,140,140
OAKBAT.cleanStatic,500,B2_doppler,2026081906,1.0,1.0,1.0,0.0,0.9678571428571429,-0.0007631389066931933,140,140
OAKBAT.cleanStatic,500,B2_doppler,2026081907,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007631389066931933,140,140
OAKBAT.cleanStatic,500,B2_doppler,2026081908,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007631389066931933,140,140
OAKBAT.cleanStatic,500,B2_doppler,2026081909,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007631389066931933,140,140
OAKBAT.cleanStatic,500,B2_doppler,2026081910,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007631389066931933,140,140
OAKBAT.cleanStatic,500,B3_time,2026081901,0.514438775510204,0.4945054945054945,0.5406318102958136,0.5,0.5642857142857143,-0.1137348630283566,140,140
OAKBAT.cleanStatic,500,B3_time,2026081902,0.4944897959183674,0.4934589220303506,0.4917003281978026,0.4928571428571429,0.525,-0.1137348630283566,140,140
OAKBAT.cleanStatic,500,B3_time,2026081903,0.49183673469387756,0.4934589220303506,0.49518842165165033,0.5,0.5357142857142857,-0.1137348630283566,140,140
OAKBAT.cleanStatic,500,B3_time,2026081904,0.49744897959183676,0.4945054945054945,0.4999782324107034,0.49642857142857144,0.525,-0.1137348630283566,140,140
OAKBAT.cleanStatic,500,B3_time,2026081905,0.5064285714285715,0.4945054945054945,0.5165663406240285,0.49642857142857144,0.5464285714285714,-0.1137348630283566,140,140
OAKBAT.cleanStatic,500,B3_time,2026081906,0.5008673469387755,0.4934589220303506,0.5019531215396711,0.49642857142857144,0.5357142857142857,-0.1137348630283566,140,140
OAKBAT.cleanStatic,500,B3_time,2026081907,0.4878061224489796,0.4934589220303506,0.48094751210116427,0.4928571428571429,0.5107142857142857,-0.1137348630283566,140,140
OAKBAT.cleanStatic,500,B3_time,2026081908,0.4943877551020408,0.4945054945054945,0.4995353114166221,0.5,0.5214285714285715,-0.1137348630283566,140,140
OAKBAT.cleanStatic,500,B3_time,2026081909,0.488061224489796,0.4934589220303506,0.4915018389619794,0.4928571428571429,0.5285714285714286,-0.1137348630283566,140,140
OAKBAT.cleanStatic,500,B3_time,2026081910,0.4873469387755101,0.4934589220303506,0.4889312360978914,0.49642857142857144,0.525,-0.1137348630283566,140,140
OAKBAT.cleanStatic,500,B4_prompt_phase_variance,2026081901,0.6018367346938776,0.5410779696493982,0.6273021166154618,0.4285714285714286,0.575,-0.5866205846156748,140,140
OAKBAT.cleanStatic,500,B4_prompt_phase_variance,2026081902,0.5856632653061226,0.5499738356881214,0.6310351351904118,0.4178571428571428,0.5714285714285714,-0.5866205846156748,140,140
OAKBAT.cleanStatic,500,B4_prompt_phase_variance,2026081903,0.6011734693877552,0.5845107273678702,0.6513718131023506,0.4285714285714286,0.5714285714285714,-0.5866205846156748,140,140
OAKBAT.cleanStatic,500,B4_prompt_phase_variance,2026081904,0.6159693877551021,0.5881737310308739,0.6608819564494666,0.4214285714285714,0.575,-0.5866205846156748,140,140
OAKBAT.cleanStatic,500,B4_prompt_phase_variance,2026081905,0.6159183673469387,0.5614861329147044,0.6559280569213951,0.41428571428571426,0.5857142857142856,-0.5866205846156748,140,140
OAKBAT.cleanStatic,500,B4_prompt_phase_variance,2026081906,0.5850510204081634,0.5609628466771324,0.6367718960743354,0.47857142857142854,0.5642857142857143,-0.5866205846156748,140,140
OAKBAT.cleanStatic,500,B4_prompt_phase_variance,2026081907,0.5749489795918367,0.5525902668759811,0.6306726296598592,0.4392857142857143,0.5428571428571428,-0.5866205846156748,140,140
OAKBAT.cleanStatic,500,B4_prompt_phase_variance,2026081908,0.6156632653061225,0.6132914704343275,0.6844220465650983,0.4285714285714286,0.5714285714285714,-0.5866205846156748,140,140
OAKBAT.cleanStatic,500,B4_prompt_phase_variance,2026081909,0.5999489795918368,0.5729984301412873,0.6483349666984022,0.42500000000000004,0.5821428571428571,-0.5866205846156748,140,140
OAKBAT.cleanStatic,500,B4_prompt_phase_variance,2026081910,0.6135204081632654,0.575091575091575,0.6529824714660147,0.4035714285714286,0.5964285714285714,-0.5866205846156748,140,140
OAKBAT.cleanStatic,500,B5_second_order,2026081901,0.5747448979591837,0.5379382522239665,0.6084099829790848,0.46071428571428574,0.5571428571428572,-10.381166792677597,140,140
OAKBAT.cleanStatic,500,B5_second_order,2026081902,0.5998979591836734,0.5044479330193616,0.5985085751850354,0.44285714285714284,0.5428571428571428,-10.381166792677597,140,140
