case_id,dataset,ablation,score
OAKBAT.cleanStatic.r1.27,OAKBAT.cleanStatic,E1_magnitude_distortion,0.2045572394170706
OAKBAT.cleanStatic.r1.27,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.2923354764536727
OAKBAT.cleanStatic.r1.27,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.7362349674905353
OAKBAT.cleanStatic.r1.27,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.8489871668322007
OAKBAT.cleanStatic.r1.27,OAKBAT.cleanStatic,E5_500ms_complex_minor,0.6189742622039065
OAKBAT.cleanStatic.r1.27,OAKBAT.cleanStatic,E6_magnitude_minor,0.2045572394170706
OAKBAT.cleanStatic.r1.27,OAKBAT.cleanStatic,E7_single_prn_node,3.7511833374500925
OAKBAT.cleanStatic.r1.27,OAKBAT.cleanStatic,Full,2.9464643812330404
OAKBAT.cleanStatic.r1.28,OAKBAT.cleanStatic,E0_total_energy,1228677868118702.2
OAKBAT.cleanStatic.r1.28,OAKBAT.cleanStatic,E1_magnitude_distortion,0.19821817277499487
OAKBAT.cleanStatic.r1.28,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.17633382591631686
OAKBAT.cleanStatic.r1.28,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.794967794741348
OAKBAT.cleanStatic.r1.28,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.5566112862287182
OAKBAT.cleanStatic.r1.28,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.237768347441973
OAKBAT.cleanStatic.r1.28,OAKBAT.cleanStatic,E6_magnitude_minor,0.19821817277499487
OAKBAT.cleanStatic.r1.28,OAKBAT.cleanStatic,E7_single_prn_node,3.32462742232378
OAKBAT.cleanStatic.r1.28,OAKBAT.cleanStatic,Full,2.573797914367783
OAKBAT.cleanStatic.r1.29,OAKBAT.cleanStatic,E0_total_energy,1193257831518732.8
OAKBAT.cleanStatic.r1.29,OAKBAT.cleanStatic,E1_magnitude_distortion,0.19701114362621563
