availability,established_detection_rate,estimated_onset_s,family,finite_epochs,first_alarm_delay_s,longest_alarm_run_epochs,mean_participation,mean_tracked_prns,method,onset_error_s,pauc_fpr_0_05,persistent_alarm_ratio,pr_auc,pre_onset_fpr,pull_off_first_alarm_delay_s,reason,roc_auc,scenario,score_total_prompt_power_pearson_r,score_total_prompt_power_spearman_rho,score_total_residual_energy_pearson_r,score_total_residual_energy_spearman_rho,time_push_first_alarm_delay_s,transition_detection_rate
,0.7897058823529411,400.5,DS7-8,938,0.4986331199999938,537,0.49008711916515635,10.646055437100213,No-quotient,290.5,0.8565239551478083,0.7472222222222222,0.9405288810359772,0.09174311926605505,nan,,0.8602191641182467,DS8,,,,,51.99918855999999,0.025
,0.007352941176470588,,OS1,958,23.496751200000006,3,nan,11.0,A1,,0.5052730493906964,0.006944444444444444,0.7870253250387872,0.0,,,0.5698821195144725,OS1,,,,,,0.0
,0.004411764705882353,,OS1,958,1.9967788000000013,1,nan,11.0,A2,,0.5063863152098447,0.005555555555555556,0.804994186650301,0.0,,,0.6138772175536882,OS1,,,,,,0.025
,0.0,,OS1,958,1.9967788000000013,1,0.010817992028847978,11.0,A3,,0.5006944444444444,0.001388888888888889,0.7519108095569473,0.0,,,0.5006944444444444,OS1,,,,,,0.025
,0.1426470588235294,142.5,OS1,958,23.496751200000006,28,0.8190773760138018,11.0,A4,22.5,0.5135746606334841,0.13472222222222222,0.7360214376790646,0.17647058823529413,,,0.45416083099906635,OS1,,,,,,0.0
,0.0,120.5,OS1,958,1.9967788000000013,1,0.1487201842711247,11.0,A5,0.5,0.4986784596272062,0.001388888888888889,0.7519108095569473,0.004201680672268907,,,0.4985965219421102,OS1,,,,,,0.025
,0.0,1.0,OS1,958,nan,0,0.17753895426165628,11.0,A6,-119.0,0.5,0.0,0.7515657620041754,0.0,,,0.5,OS1,,,,,,0.0
,0.0,120.5,OS1,958,1.9967788000000013,1,0.24246993898478475,11.0,A7,0.5,0.4986784596272062,0.001388888888888889,0.7519108095569473,0.004201680672268907,,,0.4985965219421102,OS1,,,,,,0.025
,0.0,120.5,OS1,958,1.9967788000000013,1,0.24246993898478475,11.0,Full,0.5,0.4986784596272062,0.001388888888888889,0.7519108095569473,0.004201680672268907,,,0.4985965219421102,OS1,0.010501313011896446,0.04944518168558686,0.01073202009083353,0.046555246266411186,,0.025
,0.0,17.0,OS1,958,nan,1,0.3666672606881699,11.0,EPL3,-103.0,0.4979812113095806,0.0,0.7515657620041754,0.004201680672268907,,,0.49789915966386555,OS1,,,,,,0.0
,0.0058823529411764705,120.5,OS1,958,0.9967800000000011,5,0.30876140655990064,11.0,No-quotient,0.5,0.4918360872509344,0.016666666666666666,0.7476287670595511,0.037815126050420166,,,0.48928571428571427,OS1,,,,,,0.2
,0.014705882352941176,,OS2,958,23.496744199999995,3,nan,11.0,A1,,0.5120304532069238,0.013888888888888888,0.829116775972532,0.0,,,0.6646066760037348,OS2,,,,,,0.0
,0.9720588235294118,,OS2,958,0.49677520000000186,112,nan,11.0,A2,,0.9909621968445497,0.9722222222222222,0.9996997416487385,0.004201680672268907,,,0.9991188141923436,OS2,,,,,,0.975
,0.25588235294117645,,OS2,958,3.996770600000005,18,0.489182007971152,11.0,A3,,0.6263888888888889,0.25277777777777777,0.8143644166086754,0.0,,,0.6263888888888889,OS2,,,,,,0.2
,0.3088235294117647,142.5,OS2,958,5.496768599999996,29,0.8135745928164247,11.0,A4,22.5,0.5081160669395963,0.3013888888888889,0.8111186568143592,0.15546218487394958,,,0.6112336601307189,OS2,,,,,,0.175
,0.011764705882352941,142.5,OS2,958,23.496744199999995,1,0.19481686823024108,11.0,A5,22.5,0.5032000798444085,0.011111111111111112,0.7529433161476916,0.004201680672268907,,,0.5034430438842203,OS2,,,,,,0.0
,0.0014705882352941176,215.0,OS2,958,95.49664720000001,1,0.2734366593554002,11.0,A6,95.0,0.5006944444444444,0.001388888888888889,0.7519108095569473,0.0,,,0.5006944444444444,OS2,,,,,,0.0
,0.7455882352941177,142.5,OS2,958,1.996773200000007,31,0.400269800134178,11.0,A7,22.5,0.8581795313242323,0.7444444444444445,0.9357535709335857,0.004201680672268907,,,0.8703664799253035,OS2,,,,,,0.725
