awgn_seed,case_id,complex_scalar_imag,complex_scalar_real,control,control_delta_bic,control_recovered_delay_chips,control_recovered_doppler_hz,dataset,injected_delta_bic,paired_difference_delta_bic,residual_rms,strong_resolvable,target_prn
20260821,TEXBAT.cleanStatic.single.05,,,AWGN_TAP_DOMAIN,-9.230456004384905,-0.35,35.0,TEXBAT.cleanStatic,295.70906730846036,304.93952331284527,4078555.0041748383,True,3
,TEXBAT.cleanStatic.single.06,0.0,1.2094877388249647,GAIN_RMS_MATCHED,-23.15461544774007,-0.35,-75.0,TEXBAT.cleanStatic,360.72149603255093,383.876111480291,,True,13
20260831,TEXBAT.cleanStatic.single.06,,,AWGN_TAP_DOMAIN,-13.916986532509327,-0.35,-20.0,TEXBAT.cleanStatic,360.72149603255093,374.63848256506026,3320427.632011841,True,13
,TEXBAT.cleanStatic.single.07,0.0,1.114562863574176,GAIN_RMS_MATCHED,-23.101251584244892,-0.35,-75.0,TEXBAT.cleanStatic,28.840245556086302,51.941497140331194,,False,16
20260834,TEXBAT.cleanStatic.single.07,,,AWGN_TAP_DOMAIN,-12.673132524825633,0.35,-45.0,TEXBAT.cleanStatic,28.840245556086302,41.513378080911934,285076.25853569055,False,16
,TEXBAT.cleanStatic.single.08,0.0,1.0454193921299346,GAIN_RMS_MATCHED,-23.160345627809875,-0.35,-75.0,TEXBAT.cleanStatic,822.6774224909022,845.8377681187121,,False,19
20260837,TEXBAT.cleanStatic.single.08,,,AWGN_TAP_DOMAIN,-15.38384803570807,0.25,-70.0,TEXBAT.cleanStatic,822.6774224909022,838.0612705266103,945364.9978980182,False,19
,TEXBAT.cleanStatic.single.09,0.0,1.3478184682736527,GAIN_RMS_MATCHED,-20.70402430021204,-0.35,-75.0,TEXBAT.cleanStatic,392.4159767529927,413.12000105320476,,True,30
20260848,TEXBAT.cleanStatic.single.09,,,AWGN_TAP_DOMAIN,-9.35414663492702,-0.35,-35.0,TEXBAT.cleanStatic,392.4159767529927,401.77012338791974,2429846.154334404,True,30
,TEXBAT.cleanStatic.single.10,0.0,1.2035120073469017,GAIN_RMS_MATCHED,-23.148868803167716,-0.35,-75.0,TEXBAT.cleanStatic,597.0405139625072,620.189382765675,,True,3
20260821,TEXBAT.cleanStatic.single.10,,,AWGN_TAP_DOMAIN,-13.308077256660908,0.3,-20.0,TEXBAT.cleanStatic,597.0405139625072,610.3485912191682,2981648.792843768,True,3
