attack_label,attack_metric,budget,mask,number,selection_role,synthetic_teacher_spearman
NOT_USED_FOR_RANKING,,3,"[93,10,29]",134,SYNTHETIC_VALIDATION_ONLY,0.9335826076498789
NOT_USED_FOR_RANKING,,3,"[93,114,166]",135,SYNTHETIC_VALIDATION_ONLY,0.9140736124549694
NOT_USED_FOR_RANKING,,3,"[93,154,166]",136,SYNTHETIC_VALIDATION_ONLY,0.9473856262743876
NOT_USED_FOR_RANKING,,3,"[93,11,103]",137,SYNTHETIC_VALIDATION_ONLY,0.9717374310532387
NOT_USED_FOR_RANKING,,3,"[93,9,12]",138,SYNTHETIC_VALIDATION_ONLY,0.9393645691544901
NOT_USED_FOR_RANKING,,3,"[93,20,106]",139,SYNTHETIC_VALIDATION_ONLY,0.8993314419097912
NOT_USED_FOR_RANKING,,3,"[93,18,128]",140,SYNTHETIC_VALIDATION_ONLY,0.9526110938003947
NOT_USED_FOR_RANKING,,3,"[93,70,179]",141,SYNTHETIC_VALIDATION_ONLY,0.9696721714744904
NOT_USED_FOR_RANKING,,3,"[93,78,108]",142,SYNTHETIC_VALIDATION_ONLY,0.9691779960750228
NOT_USED_FOR_RANKING,,3,"[93,115,143]",143,SYNTHETIC_VALIDATION_ONLY,0.9677703615024243
NOT_USED_FOR_RANKING,,3,"[93,26,71]",144,SYNTHETIC_VALIDATION_ONLY,0.9649397860395449
NOT_USED_FOR_RANKING,,3,"[93,46,127]",145,SYNTHETIC_VALIDATION_ONLY,0.944189339149734
NOT_USED_FOR_RANKING,,3,"[93,32,58]",146,SYNTHETIC_VALIDATION_ONLY,0.957066872208647
NOT_USED_FOR_RANKING,,3,"[93,73,97]",147,SYNTHETIC_VALIDATION_ONLY,0.9159191170441314
NOT_USED_FOR_RANKING,,3,"[93,86,156]",148,SYNTHETIC_VALIDATION_ONLY,0.8535732051975882
NOT_USED_FOR_RANKING,,3,"[93,62,123]",149,SYNTHETIC_VALIDATION_ONLY,0.9728761117579853
NOT_USED_FOR_RANKING,,3,"[93,26,47]",150,SYNTHETIC_VALIDATION_ONLY,0.9429325811371501
NOT_USED_FOR_RANKING,,3,"[93,23,177]",151,SYNTHETIC_VALIDATION_ONLY,0.937839403928257
NOT_USED_FOR_RANKING,,3,"[93,79,122]",152,SYNTHETIC_VALIDATION_ONLY,0.9482799525504151
NOT_USED_FOR_RANKING,,3,"[93,145,184]",153,SYNTHETIC_VALIDATION_ONLY,0.945992751365269
NOT_USED_FOR_RANKING,,3,"[93,75,84]",154,SYNTHETIC_VALIDATION_ONLY,0.9540837802231442
NOT_USED_FOR_RANKING,,3,"[93,21,40]",155,SYNTHETIC_VALIDATION_ONLY,0.9321017214140851
NOT_USED_FOR_RANKING,,3,"[93,40,124]",156,SYNTHETIC_VALIDATION_ONLY,0.9384893757755657
NOT_USED_FOR_RANKING,,3,"[93,169,186]",157,SYNTHETIC_VALIDATION_ONLY,0.4848604118492764
NOT_USED_FOR_RANKING,,3,"[93,136,144]",158,SYNTHETIC_VALIDATION_ONLY,0.9480727706074968
NOT_USED_FOR_RANKING,,3,"[93,57,175]",159,SYNTHETIC_VALIDATION_ONLY,0.933292334268112
NOT_USED_FOR_RANKING,,3,"[93,61,151]",160,SYNTHETIC_VALIDATION_ONLY,0.9407213648862138
NOT_USED_FOR_RANKING,,3,"[93,70,89]",161,SYNTHETIC_VALIDATION_ONLY,0.7697847822402983
NOT_USED_FOR_RANKING,,3,"[93,105,181]",162,SYNTHETIC_VALIDATION_ONLY,0.9704172611531123
NOT_USED_FOR_RANKING,,3,"[93,28,81]",163,SYNTHETIC_VALIDATION_ONLY,0.9373501484166161
