scenario,phase,second,time_s,channel,prn,raw_start_sample,raw_end_sample,raw_power,prompt_magnitude,method,budget,score
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random5_k3,3,0.09889026842315836
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random1_k5,5,0.235309553032224
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random2_k5,5,0.6027311621300412
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random3_k5,5,0.4104945808850138
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random4_k5,5,1.0528125412699338
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random5_k5,5,0.06203198904140554
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random1_k9,9,0.34446420312245424
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random2_k9,9,0.11915376666372618
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random3_k9,9,0.21074235740185815
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random4_k9,9,0.1166926338290051
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random5_k9,9,0.052910036317536914
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,dense_two_source_glrt,187,0.39940781310061146
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,dense_one_source_residual,187,1.7655340126309373
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,raw_power_only,0,5603761.2253560005
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,analytic_sparse_k3,3,0.16859645316611557
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,uniform_k3,3,1.7107115658164913
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,shuffled_k3,3,0.2995118255826005
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,analytic_sparse_k5,5,0.6714691606262129
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,uniform_k5,5,0.36704855839651174
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,shuffled_k5,5,1.3359608012062694
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,analytic_sparse_k9,9,0.7518615658544778
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,uniform_k9,9,0.09933251785265125
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,shuffled_k9,9,1.15617277319798
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,ai_sparse_k3,3,0.786759150343479
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,pg_scc_k3,3,1.1988618666186377
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,ai_sparse_k5,5,0.9011559010492338
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,pg_scc_k5,5,0.3858450961415857
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,ai_sparse_k9,9,0.9020927592942505
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,pg_scc_k9,9,0.2969826582932953
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,epl3,3,1.2398591733900097
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,fixed9,9,1.139332307419163
cleanStatic,train,10,10.01024576,6,7,250006144,250506144,5603761.2253560005,4661053.675841856,random1_k3,3,0.7747285120831316
