scenario,family,method,budget,roc_auc,pr_auc,normalized_low_fpr_pauc,events,alarms,detection_rate,first_alarm_delay_s,persistent_alarm_ratio,external_pre_events,external_pre_alarms,external_pre_fpr,clean_holdout_events,clean_holdout_alarms,clean_holdout_fpr,clean_holdout_fpr_ci95,claim_scope
ds7,ds7_ds8,random3_k3,3,0.78125,0.9437017106183618,0.7542735042735043,48,23,0.4791666666666667,7.996497087999998,0.4791666666666667,10,1,0.1,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,random3_k5,5,0.8784722222222222,0.9692706541854734,0.829059829059829,48,24,0.5,7.996497087999998,0.5,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,random3_k9,9,0.7934027777777778,0.9444514674101321,0.732905982905983,48,19,0.3958333333333333,0.9960959280000026,0.3958333333333333,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,random4_k3,3,0.7499999999999999,0.9303959784268375,0.6901709401709402,48,17,0.3541666666666667,15.00289825599998,0.3541666666666667,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,random4_k5,5,0.7309027777777778,0.9183117903662086,0.6581196581196581,48,16,0.3333333333333333,7.996497087999998,0.3333333333333333,10,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_and_established
ds7,ds7_ds8,random4_k9,9,0.8437500000000001,0.9611219118421614,0.8076923076923077,48,25,0.5208333333333334,0.012295756000000324,0.5208333333333334,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,random5_k3,3,0.8072916666666666,0.9481943761322049,0.6901709401709402,48,35,0.7291666666666666,3.0009962719999805,0.7291666666666666,10,1,0.1,12,2,0.16666666666666666,"[0.02086252546009238, 0.48413774868596704]",transition_and_established
ds7,ds7_ds8,random5_k5,5,0.7447916666666666,0.9371335201050663,0.7970085470085471,48,27,0.5625,0.9960959280000026,0.5625,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,random5_k9,9,0.8437499999999999,0.9595742162924576,0.7970085470085471,48,14,0.2916666666666667,92.007512356,0.2916666666666667,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,raw_power_only,0,0.9756944444444444,0.9942966178788302,0.9572649572649572,48,44,0.9166666666666666,5.9967967519999945,0.9166666666666666,10,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_and_established
ds7,ds7_ds8,shuffled_k3,3,0.8663194444444444,0.9667866643741241,0.829059829059829,48,14,0.2916666666666667,92.007512356,0.2916666666666667,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,shuffled_k5,5,0.7777777777777778,0.9354991087051797,0.6688034188034189,48,15,0.3125,86.07691134800001,0.3125,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,shuffled_k9,9,0.8524305555555556,0.96340379718472,0.8076923076923077,48,22,0.4583333333333333,7.996497087999998,0.4583333333333333,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,uniform_k3,3,0.5625,0.8735467463657176,0.6367521367521367,48,23,0.4791666666666667,20.035199171999977,0.4791666666666667,10,3,0.3,12,5,0.4166666666666667,"[0.15165222980843013, 0.7233303143178942]",transition_and_established
ds7,ds7_ds8,uniform_k5,5,0.7100694444444445,0.9224280161378038,0.6794871794871795,48,18,0.375,32.01220121999998,0.375,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,uniform_k9,9,0.6875,0.9084574940816148,0.6474358974358974,48,20,0.4166666666666667,21.999599447999998,0.4166666666666667,10,1,0.1,12,2,0.16666666666666666,"[0.02086252546009238, 0.48413774868596704]",transition_and_established
ds8,ds7_ds8,ai_sparse_k3,3,0.6684027777777778,0.9120527575011407,0.6901709401709402,48,27,0.5625,1.0321911236363661,0.5625,10,4,0.4,12,2,0.16666666666666666,"[0.02086252546009238, 0.48413774868596704]",transition_and_established
ds8,ds7_ds8,ai_sparse_k5,5,0.8125,0.9514731542036425,0.7863247863247864,48,28,0.5833333333333334,8.049282141818153,0.5833333333333334,10,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_and_established
ds8,ds7_ds8,ai_sparse_k9,9,0.8645833333333333,0.9667786194722708,0.829059829059829,48,28,0.5833333333333334,2.9951586359999993,0.5833333333333334,10,1,0.1,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds8,ds7_ds8,analytic_sparse_k3,3,0.8229166666666667,0.9564592854337075,0.8397435897435898,48,32,0.6666666666666666,0.013736465454528002,0.6666666666666666,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds8,ds7_ds8,analytic_sparse_k5,5,0.8871527777777778,0.9715349178115318,0.8076923076923077,48,25,0.5208333333333334,2.9951586359999993,0.5208333333333334,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds8,ds7_ds8,analytic_sparse_k9,9,0.8749999999999999,0.9685593057832045,0.829059829059829,48,29,0.6041666666666666,0.013736465454528002,0.6041666666666666,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds8,ds7_ds8,dense_one_source_residual,187,0.8680555555555556,0.9661985771521588,0.7863247863247864,48,29,0.6041666666666666,0.013736465454528002,0.6041666666666666,10,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_and_established
ds8,ds7_ds8,dense_two_source_glrt,187,0.8871527777777778,0.9719650346574593,0.8504273504273505,48,24,0.5,0.013736465454528002,0.5,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
