scenario,model,operating_point,threshold,epoch_count,alarm_comparison,clean_test_fpr,roc_auc,pr_auc,stable_pre_fpr,post_detection_rate,persistent_detection_rate,persistent_alarm_ratio,first_alarm_delay_s,first_sustained_alarm_delay_s,pre_onset_alarm,tracked_prn_count_median,tracked_prn_count_min,tracked_prn_count_max,diagnostic_only
DS2,complex all9,matched_clean_fpr_diagnostic,-0.3161939669534101,901,strict_greater,,0.9717622377622378,0.9956275758803562,0.04,0.8363636363636363,0.8850393700787401,0.8850393700787401,10.5,13.0,True,11.0,8,11,True
DS2,complex fixed K5,matched_clean_fpr_diagnostic,-0.4323939835258368,901,strict_greater,,0.9853566433566433,0.9980886804237843,0.01,0.9636363636363636,0.9968503937007874,0.9968503937007874,10.5,10.5,True,11.0,8,11,True
DS2,complex fixed K7,matched_clean_fpr_diagnostic,-0.3759186258604709,901,strict_greater,,0.9801538461538462,0.996938518007625,0.01,0.9370629370629371,0.9748031496062992,0.9748031496062992,10.5,10.5,True,11.0,8,11,True
DS2,complex random K5 seed11,matched_clean_fpr_diagnostic,-0.36121344211751794,901,strict_greater,,0.9730629370629371,0.9949636182367094,0.05,0.9370629370629371,0.9763779527559056,0.9763779527559056,10.5,10.5,True,11.0,8,11,True
DS2,complex random K5 seed23,matched_clean_fpr_diagnostic,-0.39317544182811687,901,strict_greater,,0.9783356643356643,0.9959230517173365,0.03,0.958041958041958,0.9937007874015747,0.9937007874015747,10.5,10.5,True,11.0,8,11,True
DS2,complex random K5 seed37,matched_clean_fpr_diagnostic,-0.3866168234738952,901,strict_greater,,0.9782797202797203,0.9962561955089106,0.03,0.9552447552447553,0.9905511811023622,0.9905511811023622,10.5,10.5,True,11.0,8,11,True
DS2,complex random K7 seed11,matched_clean_fpr_diagnostic,-0.3447372818503796,901,strict_greater,,0.9805314685314686,0.9970374638965761,0.02,0.8937062937062937,0.9354330708661417,0.9354330708661417,10.5,12.0,True,11.0,8,11,True
DS2,complex random K7 seed23,matched_clean_fpr_diagnostic,-0.3853745166275971,901,strict_greater,,0.976951048951049,0.995973257555198,0.03,0.958041958041958,0.9937007874015747,0.9937007874015747,10.5,10.5,True,11.0,8,11,True
DS2,complex random K7 seed37,matched_clean_fpr_diagnostic,-0.33896503084097634,901,strict_greater,,0.9676783216783217,0.9944627043398118,0.03,0.9132867132867133,0.9574803149606299,0.9574803149606299,6.5,12.0,True,11.0,8,11,True
DS2,magnitude all9,matched_clean_fpr_diagnostic,-0.07253682470136491,901,strict_greater,,0.23956643356643356,0.823630836431266,0.09,0.0993006993006993,0.10708661417322834,0.10708661417322834,4.5,66.5,True,11.0,8,11,True
DS2,phase all9,matched_clean_fpr_diagnostic,-0.3997493525168968,901,strict_greater,,0.6788111888111888,0.9370548547717571,0.07,0.213986013986014,0.23307086614173228,0.23307086614173228,4.0,62.5,True,11.0,8,11,True
DS3,B0-Exact,matched_clean_fpr_diagnostic,1.4326209677940234,902,strict_greater,,0.9592178770949721,0.9947710859203681,0.0,0.9413407821229051,1.0,1.0,21.5,21.5,False,4.0,2,11,True
DS3,complex K3,matched_clean_fpr_diagnostic,-0.5010720862470395,902,strict_greater,,0.9734776536312849,0.9965330246910025,0.04,0.9455307262569832,0.9984276729559748,0.9984276729559748,9.0,20.0,True,11.0,9,12,True
DS3,complex adaptive K5,matched_clean_fpr_diagnostic,-0.4030021545718566,902,strict_greater,,0.9746229050279329,0.9966577181144586,0.02,0.9315642458100558,0.9968553459119497,0.9968553459119497,9.5,20.0,True,11.0,9,12,True
DS3,complex adaptive K7,matched_clean_fpr_diagnostic,-0.3598863839709283,902,strict_greater,,0.9749720670391061,0.9967103432018095,0.01,0.9134078212290503,0.9795597484276729,0.9795597484276729,9.5,22.5,True,11.0,9,12,True
DS3,complex all9,matched_clean_fpr_diagnostic,-0.3161939669534101,902,strict_greater,,0.9732122905027933,0.9964450995142529,0.02,0.9050279329608939,0.9779874213836478,0.9779874213836478,7.5,23.0,True,11.0,9,12,True
