scenario,model,operating_point,threshold,epoch_count,alarm_comparison,clean_test_fpr,stable_pre_fpr,roc_auc,pr_auc,post_detection_rate,persistent_detection_rate,persistent_alarm_ratio,first_alarm_delay_s,first_sustained_alarm_delay_s,tracked_prn_count_median,tracked_prn_count_min,tracked_prn_count_max,pre_onset_alarm
DS2,complex K3,q995,-0.34556454640371054,901,strict_greater,,0.0,0.9865454545454545,0.9982509415308451,0.7916083916083916,0.8393700787401575,0.8393700787401575,10.5,12.0,11.0,8,11,False
DS2,complex adaptive K5,q99,-0.3479183784859982,901,strict_greater,,0.01,0.9852447552447553,0.9979834063287863,0.8769230769230769,0.9181102362204724,0.9181102362204724,10.5,12.0,11.0,8,11,True
DS2,complex adaptive K5,q995,-0.34556454640371054,901,strict_greater,,0.01,0.9852447552447553,0.9979834063287863,0.8713286713286713,0.9118110236220472,0.9118110236220472,10.5,12.0,11.0,8,11,True
DS2,complex adaptive K7,q99,-0.3479183784859982,901,strict_greater,,0.01,0.9828111888111888,0.997668755290602,0.8881118881118881,0.9307086614173228,0.9307086614173228,10.5,12.0,11.0,8,11,True
DS2,complex adaptive K7,q995,-0.34556454640371054,901,strict_greater,,0.01,0.9828111888111888,0.997668755290602,0.8853146853146853,0.9275590551181102,0.9275590551181102,10.5,12.0,11.0,8,11,True
DS2,complex all9,q99,-0.30931693380844905,901,strict_greater,,0.03,0.9717622377622378,0.9956275758803562,0.8167832167832167,0.8645669291338582,0.8645669291338582,10.5,13.0,11.0,8,11,True
DS2,complex all9,q995,-0.2854974355207343,901,strict_greater,,0.02,0.9717622377622378,0.9956275758803562,0.7132867132867133,0.7653543307086614,0.7653543307086614,10.5,33.0,11.0,8,11,True
DS2,complex fixed K5,q99,-0.43276511138249457,901,strict_greater,,0.01,0.9853566433566433,0.9980886804237843,0.9636363636363636,0.9968503937007874,0.9968503937007874,10.5,10.5,11.0,8,11,True
DS2,complex fixed K5,q995,-0.34556454640371054,901,strict_greater,,0.0,0.9853566433566433,0.9980886804237843,0.8433566433566434,0.889763779527559,0.889763779527559,10.5,12.0,11.0,8,11,False
DS2,complex fixed K7,q99,-0.39678467263579087,901,strict_greater,,0.02,0.9801538461538462,0.996938518007625,0.958041958041958,0.9921259842519685,0.9921259842519685,10.5,10.5,11.0,8,11,True
DS2,complex fixed K7,q995,-0.34556454640371054,901,strict_greater,,0.01,0.9801538461538462,0.996938518007625,0.8825174825174825,0.9275590551181102,0.9275590551181102,10.5,12.0,11.0,8,11,True
